source	chr	N_ylike
Gambusia_female	1	2354
Gambusia_female	2	5275
Gambusia_female	3	3270
Gambusia_female	4	1739
Gambusia_female	5	2970
Gambusia_female	6	1869
Gambusia_female	7	2183
Gambusia_female	8	2926
Gambusia_female	9	1644
Gambusia_female	11	2168
Gambusia_female	12	2978
Gambusia_female	13	1025
Gambusia_female	14	848
Gambusia_female	15	3088
Gambusia_female	16	1639
Gambusia_female	17	1449
Gambusia_female	18	2232
Gambusia_female	19	2526
Gambusia_female	20	728
Gambusia_female	21	4233
Gambusia_female	22	3518
Gambusia_female	23	2577
Gambusia_female	24	1476
Gambusia_male	1	2125
Gambusia_male	2	1541
Gambusia_male	3	2584
Gambusia_male	4	1641
Gambusia_male	5	2172
Gambusia_male	6	1371
Gambusia_male	7	2513
Gambusia_male	8	1879
Gambusia_male	9	1817
Gambusia_male	10	3735
Gambusia_male	11	3387
Gambusia_male	12	3066
Gambusia_male	13	1557
Gambusia_male	14	1429
Gambusia_male	15	2137
Gambusia_male	16	1754
Gambusia_male	17	1046
Gambusia_male	18	2346
Gambusia_male	19	1897
Gambusia_male	20	2237
Gambusia_male	21	2226
Gambusia_male	22	2331
Gambusia_male	23	3259
Gambusia_male	24	485
