source	chr	N_ylike
latipinna_female	1	2304
latipinna_female	2	2658
latipinna_female	3	1958
latipinna_female	4	2445
latipinna_female	5	2493
latipinna_female	6	2221
latipinna_female	7	2554
latipinna_female	8	2365
latipinna_female	9	1658
latipinna_female	10	2339
latipinna_female	11	2298
latipinna_female	12	2460
latipinna_female	13	2252
latipinna_female	14	3399
latipinna_female	15	2106
latipinna_female	16	2216
latipinna_female	17	1520
latipinna_female	18	2573
latipinna_female	19	2766
latipinna_female	20	2732
latipinna_female	21	10262
latipinna_female	22	1841
latipinna_female	23	2392
latipinna_female	24	1114
latipinna_male	1	1514
latipinna_male	2	1427
latipinna_male	3	1433
latipinna_male	4	1625
latipinna_male	5	1511
latipinna_male	6	1201
latipinna_male	7	1512
latipinna_male	8	1455
latipinna_male	9	1217
latipinna_male	10	1337
latipinna_male	11	1210
latipinna_male	12	948
latipinna_male	13	1239
latipinna_male	14	1678
latipinna_male	15	1034
latipinna_male	16	1256
latipinna_male	17	963
latipinna_male	18	1737
latipinna_male	19	2515
latipinna_male	20	1586
latipinna_male	21	1217
latipinna_male	22	961
latipinna_male	23	1494
latipinna_male	24	430
