source	chr	N_ylike
picta_female	1	1601
picta_female	2	1175
picta_female	3	1279
picta_female	4	1373
picta_female	5	1939
picta_female	6	1060
picta_female	7	1450
picta_female	8	1809
picta_female	9	1469
picta_female	10	1623
picta_female	11	1413
picta_female	12	3622
picta_female	13	1120
picta_female	14	1766
picta_female	15	1087
picta_female	16	3220
picta_female	17	845
picta_female	18	1221
picta_female	19	1161
picta_female	20	1449
picta_female	21	1749
picta_female	22	1539
picta_female	23	822
picta_female	24	452
picta_male	1	1041
picta_male	2	1233
picta_male	3	1373
picta_male	4	1632
picta_male	5	2057
picta_male	6	1597
picta_male	7	3692
picta_male	8	4342
picta_male	9	1812
picta_male	10	1212
picta_male	11	1058
picta_male	12	1442
picta_male	13	859
picta_male	14	2066
picta_male	15	831
picta_male	16	1383
picta_male	17	768
picta_male	18	3552
picta_male	19	1247
picta_male	20	1104
picta_male	21	1402
picta_male	22	1723
picta_male	23	991
picta_male	24	1017
