source	chr	N_ylike
reticulata_male	1	162
reticulata_male	2	176
reticulata_male	3	187
reticulata_male	4	175
reticulata_male	5	166
reticulata_male	6	165
reticulata_male	7	149
reticulata_male	8	235
reticulata_male	9	153
reticulata_male	10	138
reticulata_male	11	165
reticulata_male	12	112
reticulata_male	13	127
reticulata_male	14	226
reticulata_male	15	80
reticulata_male	16	133
reticulata_male	17	112
reticulata_male	18	184
reticulata_male	19	178
reticulata_male	20	136
reticulata_male	21	151
reticulata_male	22	126
reticulata_male	23	160
reticulata_male	24	80
