source	chr	N_ylike
wingei_female	1	4337
wingei_female	2	740
wingei_female	3	2665
wingei_female	4	3032
wingei_female	5	928
wingei_female	6	4800
wingei_female	7	737
wingei_female	8	3574
wingei_female	9	2172
wingei_female	10	602
wingei_female	11	1598
wingei_female	12	510
wingei_female	13	651
wingei_female	14	656
wingei_female	15	985
wingei_female	16	1277
wingei_female	17	461
wingei_female	18	920
wingei_female	19	481
wingei_female	20	1008
wingei_female	21	652
wingei_female	22	639
wingei_female	23	1176
wingei_female	24	615
wingei_male	1	1605
wingei_male	2	2272
wingei_male	3	1094
wingei_male	4	693
wingei_male	5	2574
wingei_male	6	4889
wingei_male	7	3186
wingei_male	8	16289
wingei_male	9	942
wingei_male	10	1206
wingei_male	11	743
wingei_male	12	1689
wingei_male	13	592
wingei_male	14	726
wingei_male	15	729
wingei_male	16	755
wingei_male	17	538
wingei_male	18	1484
wingei_male	19	655
wingei_male	20	659
wingei_male	21	646
wingei_male	22	4218
wingei_male	23	1734
wingei_male	24	265
