Run	Age	Assay Type	AvgSpotLen	Bases	BioProject	BioSample	BioSampleModel	Breed	Bytes	Center Name	Consent	Cultivar	DATASTORE filetype	DATASTORE provider	DATASTORE region	dev_stage	Ecotype	Experiment	Individual	Instrument	isolate	Library Name	LibraryLayout	LibrarySelection	LibrarySource	Organism	Platform	ReleaseDate	Sample Name	sex	SRA Study	strain	tissue
SRR5034729	adult	RNA-Seq	200	6322827800	PRJNA353986	SAMN06036175	Model organism or animal	not applicable	3774514378	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359324	31	Illumina HiSeq 2500	not applicable	31	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_01_lab_RNA	female	SRP093523	not applicable	tail
SRR5034741	adult	RNA-Seq	200	6478411400	PRJNA353986	SAMN06036176	Model organism or animal	not applicable	3888287805	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359336	32	Illumina HiSeq 2500	not applicable	32	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_13_lab_RNA	female	SRP093523	not applicable	tail
SRR5034749	adult	RNA-Seq	200	5811956600	PRJNA353986	SAMN06036174	Model organism or animal	not applicable	3434840136	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359344	30	Illumina HiSeq 2500	not applicable	30	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_07_lab_RNA	female	SRP093523	not applicable	tail
SRR5034756	adult	RNA-Seq	200	8432434400	PRJNA353986	SAMN06036173	Model organism or animal	not applicable	5061208479	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359351	29	Illumina HiSeq 2500	not applicable	29	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Female_04_lab_RNA	female	SRP093523	not applicable	tail
SRR5034717	adult	RNA-Seq	200	6115803200	PRJNA353986	SAMN06036187	Model organism or animal	not applicable	3688108868	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359312	43	Illumina HiSeq 2500	not applicable	43	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_17_lab_RNA	male	SRP093523	not applicable	tail
SRR5034720	adult	RNA-Seq	200	5975080400	PRJNA353986	SAMN06036182	Model organism or animal	not applicable	3559235329	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359315	38	Illumina HiSeq 2500	not applicable	38	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_15_lab_RNA	male	SRP093523	not applicable	tail
SRR5034723	adult	RNA-Seq	200	7920648200	PRJNA353986	SAMN06036183	Model organism or animal	not applicable	4747113285	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359318	39	Illumina HiSeq 2500	not applicable	39	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_18_lab_RNA	male	SRP093523	not applicable	tail
SRR5034733	adult	RNA-Seq	200	6371845000	PRJNA353986	SAMN06036186	Model organism or animal	not applicable	3821971179	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359328	42	Illumina HiSeq 2500	not applicable	42	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_14_lab_RNA	male	SRP093523	not applicable	tail
SRR5034735	adult	RNA-Seq	200	6260666600	PRJNA353986	SAMN06036179	Model organism or animal	not applicable	3759905237	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359330	35	Illumina HiSeq 2500	not applicable	35	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_06_lab_RNA	male	SRP093523	not applicable	tail
SRR5034740	adult	RNA-Seq	200	7509342000	PRJNA353986	SAMN06036180	Model organism or animal	not applicable	4495178141	UNIVERSITY COLLEGE LONDON	public	not applicable	sra	"gs,ncbi,s3"	"gs.US,ncbi.public,s3.us-east-1"	adult	not applicable	SRX2359335	36	Illumina HiSeq 2500	not applicable	36	PAIRED	unspecified	TRANSCRIPTOMIC	Poecilia reticulata	ILLUMINA	2017-11-29T00:00:00Z	Male_09_lab_RNA	male	SRP093523	not applicable	tail
