Assay_Type	AvgSpotLen	BioSample	DATASTORE_filetype	DATASTORE_provider	DATASTORE_region	Experiment	LibrarySource	Library_Name	MBases	MBytes	Organism	Run	SRA_Sample	Sample_Name	individual	sex	tissue	BioProject	BioSampleModel	Center_Name	Consent	InsertSize	Instrument	LibraryLayout	LibrarySelection	LoadDate	Platform	ReleaseDate	SRA_Study	age	breed	cultivar	dev_stage	ecotype	isolate	strain
RNA-Seq	150	SAMN11245729	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575359	TRANSCRIPTOMIC	517	1814	719	Gambusia holbrooki	SRR8785671	SRS4537862	G.hol._2F_T	19	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245729	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575358	TRANSCRIPTOMIC	516	1619	674	Gambusia holbrooki	SRR8785672	SRS4537862	G.hol._2F_T	19	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245729	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575357	TRANSCRIPTOMIC	515	2590	1008	Gambusia holbrooki	SRR8785673	SRS4537862	G.hol._2F_T	19	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245729	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575356	TRANSCRIPTOMIC	514	719	281	Gambusia holbrooki	SRR8785674	SRS4537862	G.hol._2F_T	19	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245730	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575363	TRANSCRIPTOMIC	521	1535	608	Gambusia holbrooki	SRR8785667	SRS4537863	G.hol._3F_T	20	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245730	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575362	TRANSCRIPTOMIC	520	1374	573	Gambusia holbrooki	SRR8785668	SRS4537863	G.hol._3F_T	20	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245730	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575361	TRANSCRIPTOMIC	519	685	267	Gambusia holbrooki	SRR8785669	SRS4537863	G.hol._3F_T	20	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245730	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575360	TRANSCRIPTOMIC	518	2296	902	Gambusia holbrooki	SRR8785670	SRS4537863	G.hol._3F_T	20	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245731	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575365	TRANSCRIPTOMIC	523	2649	1039	Gambusia holbrooki	SRR8785665	SRS4537864	G.hol._4F_T	21	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
RNA-Seq	150	SAMN11245731	fastq sra	gs s3	gs.US s3.us-east-1	SRX5575364	TRANSCRIPTOMIC	522	804	317	Gambusia holbrooki	SRR8785666	SRS4537864	G.hol._4F_T	21	female	tail	PRJNA528814	Model organism or animal	UNIVERSITY COLLEGE LONDON	public	0	Illumina HiSeq 4000	PAIRED	unspecified	3/26/19	ILLUMINA	1/27/20	SRP189425	adult	not applicable	not applicable	adult	not applicable	not applicable	not applicable
