sample	sex	species
Gambusia_2Female_DNA	F	Gambusia
Gambusia_2Female_RNA	F	Gambusia
Gambusia_3Female_DNA	F	Gambusia
Gambusia_3Female_RNA	F	Gambusia
Gambusia_4Female_DNA	F	Gambusia
Gambusia_4Female_RNA	F	Gambusia
Gambusia_6Male_DNA	M	Gambusia
Gambusia_6Male_RNA	M	Gambusia
Gambusia_7Male_DNA	M	Gambusia
Gambusia_7Male_RNA	M	Gambusia
Gambusia_8Male_DNA	M	Gambusia
Gambusia_8Male_RNA	M	Gambusia
latipinna_1Female_DNA	F	latipinna
latipinna_1Female_RNA	F	latipinna
latipinna_2Female_DNA	F	latipinna
latipinna_2Female_RNA	F	latipinna
latipinna_3Male_DNA	M	latipinna
latipinna_3Male_RNA	M	latipinna
latipinna_4Male_DNA	M	latipinna
latipinna_4Male_RNA	M	latipinna
latipinna_6Female_DNA	F	latipinna
latipinna_6Female_RNA	F	latipinna
latipinna_7Male_DNA	D	latipinna
latipinna_7Male_RNA	D	latipinna
picta_1Female_DNA	F	picta
picta_1Female_RNA	F	picta
picta_2Female_DNA	F	picta
picta_2Female_RNA	F	picta
picta_3Male_DNA	M	picta
picta_3Male_RNA	M	picta
picta_4Female_DNA	F	picta
picta_4Female_RNA	F	picta
picta_5Male_DNA	M	picta
picta_5Male_RNA	M	picta
picta_6Male_DNA	M	picta
picta_6Male_RNA	M	picta
reticulata_Female_01_lab_RNA	F	reticulata
reticulata_Female_04_lab_DNA	F	reticulata
reticulata_Female_04_lab_RNA	F	reticulata
reticulata_Female_07_lab_DNA	F	reticulata
reticulata_Female_07_lab_RNA	F	reticulata
reticulata_Female_13_lab_RNA	F	reticulata
reticulata_Male_02_lab_RNA	M	reticulata
reticulata_Male_05_lab_RNA	M	reticulata
reticulata_Male_06_lab_RNA	M	reticulata
reticulata_Male_08_lab_DNA	M	reticulata
reticulata_Male_08_lab_RNA	M	reticulata
reticulata_Male_09_lab_RNA	M	reticulata
reticulata_Male_11_lab_DNA	M	reticulata
reticulata_Male_11_lab_RNA	M	reticulata
reticulata_Male_12_lab_RNA	M	reticulata
reticulata_Male_14_lab_RNA	M	reticulata
reticulata_Male_15_lab_RNA	M	reticulata
reticulata_Male_17_lab_RNA	M	reticulata
reticulata_Male_18_lab_RNA	M	reticulata
reticulata_Male_J001_Aripo_high_DNA	M	reticulata
reticulata_Male_J003_Aripo_high_DNA	M	reticulata
reticulata_Male_J004_Aripo_high_DNA	M	reticulata
reticulata_Male_J005_Aripo_high_DNA	M	reticulata
reticulata_Male_J012_Yarra_low_DNA	M	reticulata
reticulata_Male_J013_Yarra_low_DNA	M	reticulata
reticulata_Male_J014_Yarra_low_DNA	M	reticulata
reticulata_Male_J015_Yarra_low_DNA	M	reticulata
reticulata_Male_J016_Quare_high_DNA	M	reticulata
reticulata_Male_J017_Quare_high_DNA	M	reticulata
reticulata_Male_J019_Quare_high_DNA	M	reticulata
reticulata_Male_J020_Quare_high_DNA	M	reticulata
reticulata_Male_J032_Aripo_low_DNA	M	reticulata
reticulata_Male_J033_Aripo_low_DNA	M	reticulata
reticulata_Male_J034_Aripo_low_DNA	M	reticulata
reticulata_Male_J035_Aripo_low_DNA	M	reticulata
reticulata_Male_J041_Yarra_high_DNA	M	reticulata
reticulata_Male_J042_Yarra_high_DNA	M	reticulata
reticulata_Male_J043_Yarra_high_DNA	M	reticulata
reticulata_Male_J044_Yarra_high_DNA	M	reticulata
reticulata_Male_J051_Quare_low_DNA	M	reticulata
reticulata_Male_J052_Quare_low_DNA	M	reticulata
reticulata_Male_J053_Quare_low_DNA	M	reticulata
reticulata_Male_J054_Quare_low_DNA	M	reticulata
wingei_Female_013_DNA	F	wingei
wingei_Female_013_RNA	F	wingei
wingei_Female_014_DNA	F	wingei
wingei_Female_014_RNA	F	wingei
wingei_Female_015_DNA	F	wingei
wingei_Female_015_RNA	F	wingei
wingei_Male_005_DNA	M	wingei
wingei_Male_005_RNA	M	wingei
wingei_Male_006_DNA	M	wingei
wingei_Male_006_RNA	M	wingei
wingei_Male_007_DNA	M	wingei
wingei_Male_007_RNA	M	wingei
