sample	sex	species
P.win._13F_H	F	Poecilia wingei
P.win._14F_H	F	Poecilia wingei
P.win_15F_H	F	Poecilia wingei
P.win._5M_H	M	Poecilia wingei
P.win._6M_H	M	Poecilia wingei
P.win._7M_H	M	Poecilia wingei
P.pic._1F_H	F	Micropoecilia picta
P.pic._2F_H	F	Micropoecilia picta
P.pic._3M_H	M	Micropoecilia picta
P.pic._4F_H	F	Micropoecilia picta
P.pic._5M_H	M	Micropoecilia picta
P.pic._6M_H	M	Micropoecilia picta
reticulata_F_04_lab	F	Poecilia reticulata
reticulata_F_07_lab	F	Poecilia reticulata
reticulata_M_08_lab	M	Poecilia reticulata
reticulata_M_11_lab	M	Poecilia reticulata
reticulata_M_J001_Aripo_high	M	Poecilia reticulata
reticulata_M_J003_Aripo_high	M	Poecilia reticulata
reticulata_M_J004_Aripo_high	M	Poecilia reticulata
reticulata_M_J005_Aripo_high	M	Poecilia reticulata
reticulata_M_J012_Yarra_low	M	Poecilia reticulata
reticulata_M_J013_Yarra_low	M	Poecilia reticulata
reticulata_M_J014_Yarra_low	M	Poecilia reticulata
reticulata_M_J015_Yarra_low	M	Poecilia reticulata
reticulata_M_J016_Quare_high	M	Poecilia reticulata
reticulata_M_J017_Quare_high	M	Poecilia reticulata
reticulata_M_J019_Quare_high	M	Poecilia reticulata
reticulata_M_J020_Quare_high	M	Poecilia reticulata
reticulata_M_J032_Aripo_low	M	Poecilia reticulata
reticulata_M_J033_Aripo_low	M	Poecilia reticulata
reticulata_M_J034_Aripo_low	M	Poecilia reticulata
reticulata_M_J035_Aripo_low	M	Poecilia reticulata
reticulata_M_J041_Yarra_high	M	Poecilia reticulata
reticulata_M_J042_Yarra_high	M	Poecilia reticulata
reticulata_M_J043_Yarra_high	M	Poecilia reticulata
reticulata_M_J044_Yarra_high	M	Poecilia reticulata
reticulata_M_J051_Quare_low	M	Poecilia reticulata
reticulata_M_J052_Quare_low	M	Poecilia reticulata
reticulata_M_J053_Quare_low	M	Poecilia reticulata
reticulata_M_J054_Quare_low	M	Poecilia reticulata
G.hol._2F_H	F	Gambusia holbrooki
G.hol._3F_H	F	Gambusia holbrooki
G.hol._4F_H	F	Gambusia holbrooki
G.hol._6M_H	M	Gambusia holbrooki
G.hol._7M_H	M	Gambusia holbrooki
G.hol._8M_H	M	Gambusia holbrooki
P.lat._1F_H	F	Poecilia latipinna
P.lat._2F_H	F	Poecilia latipinna
P.lat._3M_H	M	Poecilia latipinna
P.lat._4M_H	M	Poecilia latipinna
P.lat._6F_H	F	Poecilia latipinna
P.lat._7M_H	M	Poecilia latipinna
