BioSample,Assay_Type,Organism,Run,Sample_Name,individual,sex,tissue,BioProject
SAMN11245729,RNA-Seq,Gambusia holbrooki,SRR8785671,G.hol._2F_T,19,female,tail,PRJNA528814
SAMN11245729,RNA-Seq,Gambusia holbrooki,SRR8785672,G.hol._2F_T,19,female,tail,PRJNA528814
SAMN11245729,RNA-Seq,Gambusia holbrooki,SRR8785673,G.hol._2F_T,19,female,tail,PRJNA528814
SAMN11245729,RNA-Seq,Gambusia holbrooki,SRR8785674,G.hol._2F_T,19,female,tail,PRJNA528814
SAMN11245730,RNA-Seq,Gambusia holbrooki,SRR8785667,G.hol._3F_T,20,female,tail,PRJNA528814
SAMN11245730,RNA-Seq,Gambusia holbrooki,SRR8785668,G.hol._3F_T,20,female,tail,PRJNA528814
SAMN11245730,RNA-Seq,Gambusia holbrooki,SRR8785669,G.hol._3F_T,20,female,tail,PRJNA528814
SAMN11245730,RNA-Seq,Gambusia holbrooki,SRR8785670,G.hol._3F_T,20,female,tail,PRJNA528814
SAMN11245731,RNA-Seq,Gambusia holbrooki,SRR8785665,G.hol._4F_T,21,female,tail,PRJNA528814
SAMN11245731,RNA-Seq,Gambusia holbrooki,SRR8785666,G.hol._4F_T,21,female,tail,PRJNA528814
SAMN11245731,RNA-Seq,Gambusia holbrooki,SRR8785994,G.hol._4F_T,21,female,tail,PRJNA528814
SAMN11245731,RNA-Seq,Gambusia holbrooki,SRR8785995,G.hol._4F_T,21,female,tail,PRJNA528814
SAMN11245734,RNA-Seq,Gambusia holbrooki,SRR8785575,G.hol._8M_T,24,male,tail,PRJNA528814
SAMN11245734,RNA-Seq,Gambusia holbrooki,SRR8785806,G.hol._8M_T,24,male,tail,PRJNA528814
SAMN11245734,RNA-Seq,Gambusia holbrooki,SRR8785807,G.hol._8M_T,24,male,tail,PRJNA528814
SAMN11245734,RNA-Seq,Gambusia holbrooki,SRR8785812,G.hol._8M_T,24,male,tail,PRJNA528814
SAMN11245733,RNA-Seq,Gambusia holbrooki,SRR8785762,G.hol._7M_T,23,male,tail,PRJNA528814
SAMN11245733,RNA-Seq,Gambusia holbrooki,SRR8785810,G.hol._7M_T,23,male,tail,PRJNA528814
SAMN11245733,RNA-Seq,Gambusia holbrooki,SRR8785811,G.hol._7M_T,23,male,tail,PRJNA528814
SAMN11245733,RNA-Seq,Gambusia holbrooki,SRR8785996,G.hol._7M_T,23,male,tail,PRJNA528814
SAMN11245732,RNA-Seq,Gambusia holbrooki,SRR8785761,G.hol._6M_T,22,male,tail,PRJNA528814
SAMN11245732,RNA-Seq,Gambusia holbrooki,SRR8785774,G.hol._6M_T,22,male,tail,PRJNA528814
SAMN11245732,RNA-Seq,Gambusia holbrooki,SRR8785992,G.hol._6M_T,22,male,tail,PRJNA528814
SAMN11245732,RNA-Seq,Gambusia holbrooki,SRR8785993,G.hol._6M_T,22,male,tail,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785525,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785526,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785527,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785528,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785529,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785531,G.hol._8M_H,24,male,head,PRJNA528814
SAMN11245728,WGS,Gambusia holbrooki,SRR8785532,G.hol._8M_H,24,male,head,PRJNA528814
