source	chr	N_ylike
Gambusia_female	1	724
Gambusia_female	2	783
Gambusia_female	3	897
Gambusia_female	4	543
Gambusia_female	5	849
Gambusia_female	6	616
Gambusia_female	7	652
Gambusia_female	8	661
Gambusia_female	9	576
Gambusia_female	10	581
Gambusia_female	11	623
Gambusia_female	12	607
Gambusia_female	13	611
Gambusia_female	14	539
Gambusia_female	15	564
Gambusia_female	16	721
Gambusia_female	17	333
Gambusia_female	18	603
Gambusia_female	19	649
Gambusia_female	20	599
Gambusia_female	21	608
Gambusia_female	22	550
Gambusia_female	23	489
Gambusia_female	24	333
Gambusia_male	1	976
Gambusia_male	2	706
Gambusia_male	3	836
Gambusia_male	4	664
Gambusia_male	5	798
Gambusia_male	6	812
Gambusia_male	7	737
Gambusia_male	8	608
Gambusia_male	9	629
Gambusia_male	10	677
Gambusia_male	11	737
Gambusia_male	12	821
Gambusia_male	13	567
Gambusia_male	14	678
Gambusia_male	15	593
Gambusia_male	16	775
Gambusia_male	17	342
Gambusia_male	18	666
Gambusia_male	19	760
Gambusia_male	20	773
Gambusia_male	21	449
Gambusia_male	22	593
Gambusia_male	23	549
Gambusia_male	24	326
