source	chr	N_ylike
latipinna_female	1	655
latipinna_female	2	574
latipinna_female	3	636
latipinna_female	4	486
latipinna_female	5	595
latipinna_female	6	603
latipinna_female	7	516
latipinna_female	8	581
latipinna_female	9	457
latipinna_female	10	572
latipinna_female	11	548
latipinna_female	12	558
latipinna_female	13	500
latipinna_female	14	592
latipinna_female	15	442
latipinna_female	16	684
latipinna_female	17	326
latipinna_female	18	479
latipinna_female	19	725
latipinna_female	20	601
latipinna_female	21	718
latipinna_female	22	521
latipinna_female	23	412
latipinna_female	24	243
latipinna_male	1	547
latipinna_male	2	489
latipinna_male	3	443
latipinna_male	4	430
latipinna_male	5	579
latipinna_male	6	488
latipinna_male	7	434
latipinna_male	8	437
latipinna_male	9	475
latipinna_male	10	408
latipinna_male	11	430
latipinna_male	12	405
latipinna_male	13	406
latipinna_male	14	397
latipinna_male	15	319
latipinna_male	16	556
latipinna_male	17	264
latipinna_male	18	452
latipinna_male	19	536
latipinna_male	20	539
latipinna_male	21	311
latipinna_male	22	354
latipinna_male	23	305
latipinna_male	24	190
