source	chr	N_ylike
Gambusia_female	1	2974
Gambusia_female	2	2986
Gambusia_female	3	3024
Gambusia_female	4	2210
Gambusia_female	5	3295
Gambusia_female	6	2459
Gambusia_female	7	2562
Gambusia_female	8	2520
Gambusia_female	9	2444
Gambusia_female	10	2270
Gambusia_female	11	2888
Gambusia_female	12	2788
Gambusia_female	13	2326
Gambusia_female	14	1903
Gambusia_female	15	2175
Gambusia_female	16	2848
Gambusia_female	17	1386
Gambusia_female	18	2633
Gambusia_female	19	2590
Gambusia_female	20	2492
Gambusia_female	21	1707
Gambusia_female	22	2448
Gambusia_female	23	1987
Gambusia_female	24	1394
Gambusia_male	1	2907
Gambusia_male	2	2397
Gambusia_male	3	2954
Gambusia_male	4	2059
Gambusia_male	5	2643
Gambusia_male	6	2330
Gambusia_male	7	2369
Gambusia_male	8	2296
Gambusia_male	9	2273
Gambusia_male	10	2406
Gambusia_male	11	2776
Gambusia_male	12	2755
Gambusia_male	13	2011
Gambusia_male	14	1882
Gambusia_male	15	2038
Gambusia_male	16	2743
Gambusia_male	17	1198
Gambusia_male	18	2268
Gambusia_male	19	2409
Gambusia_male	20	2796
Gambusia_male	21	1623
Gambusia_male	22	2235
Gambusia_male	23	2080
Gambusia_male	24	1070
