source	chr	N_ylike
latipinna_female	1	1946
latipinna_female	2	1672
latipinna_female	3	1831
latipinna_female	4	1436
latipinna_female	5	1801
latipinna_female	6	1611
latipinna_female	7	1533
latipinna_female	8	1583
latipinna_female	9	1410
latipinna_female	10	1586
latipinna_female	11	1713
latipinna_female	12	1647
latipinna_female	13	1477
latipinna_female	14	1530
latipinna_female	15	1276
latipinna_female	16	1956
latipinna_female	17	923
latipinna_female	18	1513
latipinna_female	19	1883
latipinna_female	20	1796
latipinna_female	21	1442
latipinna_female	22	1493
latipinna_female	23	1240
latipinna_female	24	843
latipinna_male	1	1819
latipinna_male	2	1554
latipinna_male	3	1599
latipinna_male	4	1503
latipinna_male	5	1895
latipinna_male	6	1544
latipinna_male	7	1642
latipinna_male	8	1599
latipinna_male	9	1642
latipinna_male	10	1555
latipinna_male	11	1532
latipinna_male	12	1410
latipinna_male	13	1354
latipinna_male	14	1313
latipinna_male	15	1286
latipinna_male	16	1918
latipinna_male	17	830
latipinna_male	18	1416
latipinna_male	19	1658
latipinna_male	20	1728
latipinna_male	21	1088
latipinna_male	22	1269
latipinna_male	23	1059
latipinna_male	24	722
