source	chr	N_ylike
picta_female	1	7035
picta_female	2	6481
picta_female	3	6963
picta_female	4	6160
picta_female	5	7302
picta_female	6	6443
picta_female	7	5957
picta_female	8	6672
picta_female	9	6709
picta_female	10	6266
picta_female	11	6398
picta_female	12	6545
picta_female	13	5906
picta_female	14	4709
picta_female	15	5498
picta_female	16	7017
picta_female	17	4033
picta_female	18	6162
picta_female	19	5864
picta_female	20	6935
picta_female	21	4130
picta_female	22	5574
picta_female	23	4764
picta_female	24	2493
picta_male	1	1473
picta_male	2	1579
picta_male	3	1560
picta_male	4	1378
picta_male	5	1685
picta_male	6	1527
picta_male	7	1462
picta_male	8	1612
picta_male	9	1376
picta_male	10	1617
picta_male	11	1453
picta_male	12	1373
picta_male	13	1312
picta_male	14	1519
picta_male	15	1200
picta_male	16	1814
picta_male	17	759
picta_male	18	1491
picta_male	19	1198
picta_male	20	1431
picta_male	21	934
picta_male	22	1254
picta_male	23	1039
picta_male	24	794
