source	chr	N_ylike
reticulata_female	1	97
reticulata_female	2	69
reticulata_female	3	50
reticulata_female	4	44
reticulata_female	5	67
reticulata_female	6	61
reticulata_female	7	91
reticulata_female	8	62
reticulata_female	9	85
reticulata_female	10	67
reticulata_female	11	63
reticulata_female	12	32
reticulata_female	13	41
reticulata_female	14	121
reticulata_female	15	58
reticulata_female	16	106
reticulata_female	17	47
reticulata_female	18	74
reticulata_female	19	51
reticulata_female	20	111
reticulata_female	21	57
reticulata_female	22	57
reticulata_female	23	35
reticulata_female	24	30
reticulata_male	1	99
reticulata_male	2	115
reticulata_male	3	91
reticulata_male	4	67
reticulata_male	5	103
reticulata_male	6	102
reticulata_male	7	100
reticulata_male	8	156
reticulata_male	9	94
reticulata_male	10	98
reticulata_male	11	105
reticulata_male	12	102
reticulata_male	13	87
reticulata_male	14	82
reticulata_male	15	66
reticulata_male	16	140
reticulata_male	17	39
reticulata_male	18	103
reticulata_male	19	82
reticulata_male	20	106
reticulata_male	21	87
reticulata_male	22	83
reticulata_male	23	61
reticulata_male	24	63
