source	chr	N_ylike
wingei_female	1	986
wingei_female	2	695
wingei_female	3	943
wingei_female	4	763
wingei_female	5	734
wingei_female	6	1051
wingei_female	7	657
wingei_female	8	1470
wingei_female	9	1121
wingei_female	10	571
wingei_female	11	1088
wingei_female	12	645
wingei_female	13	954
wingei_female	14	605
wingei_female	15	739
wingei_female	16	860
wingei_female	17	414
wingei_female	18	739
wingei_female	19	551
wingei_female	20	880
wingei_female	21	588
wingei_female	22	899
wingei_female	23	661
wingei_female	24	491
wingei_male	1	1173
wingei_male	2	849
wingei_male	3	887
wingei_male	4	759
wingei_male	5	1483
wingei_male	6	1383
wingei_male	7	972
wingei_male	8	2317
wingei_male	9	543
wingei_male	10	976
wingei_male	11	802
wingei_male	12	1495
wingei_male	13	667
wingei_male	14	897
wingei_male	15	1163
wingei_male	16	1067
wingei_male	17	535
wingei_male	18	1028
wingei_male	19	896
wingei_male	20	1057
wingei_male	21	558
wingei_male	22	1061
wingei_male	23	1287
wingei_male	24	578
