source	chr	N_ylike
picta_female	1	2617
picta_female	2	2497
picta_female	3	2524
picta_female	4	2224
picta_female	5	2698
picta_female	6	2356
picta_female	7	2112
picta_female	8	2453
picta_female	9	2379
picta_female	10	2382
picta_female	11	2369
picta_female	12	2478
picta_female	13	2142
picta_female	14	1965
picta_female	15	2049
picta_female	16	2640
picta_female	17	1519
picta_female	18	2301
picta_female	19	2151
picta_female	20	2629
picta_female	21	1433
picta_female	22	2082
picta_female	23	1714
picta_female	24	915
picta_male	1	891
picta_male	2	1003
picta_male	3	926
picta_male	4	795
picta_male	5	1002
picta_male	6	898
picta_male	7	898
picta_male	8	1131
picta_male	9	809
picta_male	10	1015
picta_male	11	940
picta_male	12	734
picta_male	13	769
picta_male	14	910
picta_male	15	812
picta_male	16	1067
picta_male	17	479
picta_male	18	869
picta_male	19	697
picta_male	20	911
picta_male	21	479
picta_male	22	817
picta_male	23	624
picta_male	24	388
