source	chr	N_ylike
reticulata_female	1	21
reticulata_female	2	34
reticulata_female	3	23
reticulata_female	4	26
reticulata_female	5	28
reticulata_female	6	23
reticulata_female	7	30
reticulata_female	8	31
reticulata_female	9	28
reticulata_female	10	34
reticulata_female	11	31
reticulata_female	12	17
reticulata_female	13	26
reticulata_female	14	36
reticulata_female	15	20
reticulata_female	16	33
reticulata_female	17	21
reticulata_female	18	33
reticulata_female	19	26
reticulata_female	20	58
reticulata_female	21	23
reticulata_female	22	29
reticulata_female	23	25
reticulata_female	24	9
reticulata_male	1	44
reticulata_male	2	53
reticulata_male	3	44
reticulata_male	4	32
reticulata_male	5	45
reticulata_male	6	48
reticulata_male	7	33
reticulata_male	8	65
reticulata_male	9	37
reticulata_male	10	45
reticulata_male	11	53
reticulata_male	12	44
reticulata_male	13	42
reticulata_male	14	30
reticulata_male	15	31
reticulata_male	16	75
reticulata_male	17	23
reticulata_male	18	39
reticulata_male	19	43
reticulata_male	20	63
reticulata_male	21	30
reticulata_male	22	44
reticulata_male	23	22
reticulata_male	24	27
