source	chr	N_ylike
wingei_female	1	529
wingei_female	2	355
wingei_female	3	367
wingei_female	4	403
wingei_female	5	360
wingei_female	6	518
wingei_female	7	284
wingei_female	8	631
wingei_female	9	425
wingei_female	10	277
wingei_female	11	395
wingei_female	12	281
wingei_female	13	393
wingei_female	14	313
wingei_female	15	282
wingei_female	16	416
wingei_female	17	191
wingei_female	18	301
wingei_female	19	255
wingei_female	20	488
wingei_female	21	252
wingei_female	22	308
wingei_female	23	296
wingei_female	24	177
wingei_male	1	358
wingei_male	2	292
wingei_male	3	271
wingei_male	4	168
wingei_male	5	579
wingei_male	6	595
wingei_male	7	470
wingei_male	8	1580
wingei_male	9	226
wingei_male	10	377
wingei_male	11	163
wingei_male	12	406
wingei_male	13	232
wingei_male	14	249
wingei_male	15	159
wingei_male	16	275
wingei_male	17	147
wingei_male	18	228
wingei_male	19	208
wingei_male	20	214
wingei_male	21	135
wingei_male	22	439
wingei_male	23	359
wingei_male	24	175
