INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.win._13F_H	90937	69157.9	129028	0.36377	chr10
P.win._14F_H	83156	69026.3	128757	0.23656	chr10
P.win_15F_H	80005	68853.3	128424	0.18720	chr10
P.win._5M_H	53070	69204.8	129118	-0.26930	chr10
P.win._6M_H	76026	69257.7	129248	0.11282	chr10
P.win._7M_H	67429	69117.0	128936	-0.02822	chr10
P.win._13F_H	89361	76441.6	137424	0.21185	chr11
P.win._14F_H	71763	76451.6	137411	-0.07691	chr11
P.win_15F_H	59919	76350.8	137226	-0.26993	chr11
P.win._5M_H	61543	76515.9	137555	-0.24530	chr11
P.win._6M_H	95298	76520.4	137555	0.30765	chr11
P.win._7M_H	48991	76610.7	137729	-0.45190	chr11
P.win._13F_H	81374	101083.0	177876	-0.25665	chr12
P.win._14F_H	142155	100558.0	176866	0.54512	chr12
P.win_15F_H	105168	100685.4	177097	0.05866	chr12
P.win._5M_H	108563	100919.4	177538	0.09976	chr12
P.win._6M_H	74240	101107.3	177913	-0.34981	chr12
P.win._7M_H	94100	101053.3	177854	-0.09054	chr12
P.win._13F_H	34973	46142.5	81161	-0.31896	chr13
P.win._14F_H	37942	45917.3	80729	-0.22910	chr13
P.win_15F_H	60615	45905.1	80701	0.42275	chr13
P.win._5M_H	42248	46073.2	81046	-0.10938	chr13
P.win._6M_H	40041	46203.2	81269	-0.17573	chr13
P.win._7M_H	45163	46094.8	81069	-0.02664	chr13
P.win._13F_H	58420	55621.8	102437	0.05977	chr14
P.win._14F_H	71656	55364.3	101913	0.34999	chr14
P.win_15F_H	64432	55355.9	101904	0.19498	chr14
P.win._5M_H	43629	55671.1	102511	-0.25709	chr14
P.win._6M_H	62446	55654.4	102497	0.14499	chr14
P.win._7M_H	62088	55608.5	102375	0.13855	chr14
P.win._13F_H	82106	69361.9	125888	0.22546	chr15
P.win._14F_H	71434	69328.8	125835	0.03726	chr15
P.win_15F_H	93463	69120.0	125432	0.43229	chr15
P.win._5M_H	103289	69247.9	125682	0.60320	chr15
P.win._6M_H	75546	69500.3	126148	0.10672	chr15
P.win._7M_H	61115	69485.4	126125	-0.14778	chr15
P.win._13F_H	62097	74880.3	138563	-0.20073	chr16
P.win._14F_H	52367	74858.7	138531	-0.35324	chr16
P.win_15F_H	74978	74568.6	137955	0.00646	chr16
P.win._5M_H	83295	74896.9	138575	0.13188	chr16
P.win._6M_H	67449	74973.0	138757	-0.11796	chr16
P.win._7M_H	85193	74844.1	138489	0.16260	chr16
P.win._13F_H	46768	44926.3	80287	0.05208	chr17
P.win._14F_H	48754	44833.5	80123	0.11110	chr17
P.win_15F_H	52918	44719.4	79901	0.23304	chr17
P.win._5M_H	44788	44927.8	80313	-0.00395	chr17
P.win._6M_H	47136	44952.2	80356	0.06168	chr17
P.win._7M_H	46177	44868.1	80165	0.03708	chr17
P.win._13F_H	68285	54819.4	96474	0.32327	chr18
P.win._14F_H	66180	54752.4	96344	0.27476	chr18
P.win_15F_H	42085	54700.4	96266	-0.30351	chr18
P.win._5M_H	52299	54854.8	96539	-0.06131	chr18
P.win._6M_H	37194	54960.9	96744	-0.42522	chr18
P.win._7M_H	38590	54861.6	96568	-0.39015	chr18
P.win._13F_H	98979	76752.6	145983	0.32105	chr19
P.win._14F_H	91323	76624.0	145698	0.21280	chr19
P.win_15F_H	43651	76647.6	145757	-0.47746	chr19
P.win._5M_H	62282	76782.4	146008	-0.20947	chr19
P.win._6M_H	75154	76887.3	146231	-0.02500	chr19
P.win._7M_H	57705	76831.9	146100	-0.27613	chr19
P.win._13F_H	46742	72386.5	131984	-0.43029	chr1
P.win._14F_H	47463	72322.9	131862	-0.41754	chr1
P.win_15F_H	64535	72115.3	131466	-0.12772	chr1
P.win._5M_H	59140	72303.8	131797	-0.22127	chr1
P.win._6M_H	67518	72414.4	132015	-0.08215	chr1
P.win._7M_H	57812	72347.5	131886	-0.24414	chr1
P.win._13F_H	70139	69582.8	128871	0.00938	chr20
P.win._14F_H	48251	69508.9	128759	-0.35878	chr20
P.win_15F_H	56357	69405.8	128542	-0.22066	chr20
P.win._5M_H	91857	69465.7	128686	0.37810	chr20
P.win._6M_H	85486	69539.0	128826	0.26898	chr20
P.win._7M_H	54811	69589.0	128897	-0.24917	chr20
P.win._13F_H	22999	30369.3	52586	-0.33174	chr21
P.win._14F_H	28826	30304.8	52470	-0.06672	chr21
P.win_15F_H	33811	30215.9	52311	0.16271	chr21
P.win._5M_H	24658	30343.0	52535	-0.25617	chr21
P.win._6M_H	32559	30358.4	52557	0.09913	chr21
P.win._7M_H	25644	30358.0	52570	-0.21223	chr21
P.win._13F_H	68623	60406.1	108827	0.16970	chr22
P.win._14F_H	78951	60284.7	108597	0.38637	chr22
P.win_15F_H	55506	60290.1	108595	-0.09904	chr22
P.win._5M_H	39024	60518.7	109045	-0.44295	chr22
P.win._6M_H	45264	60501.0	109015	-0.31407	chr22
P.win._7M_H	44861	60476.7	108955	-0.32212	chr22
