INDV	O(HOM)	E(HOM)	N_SITES	F	chr
SRR5034717	9484	10017.7	14466	-0.11998	chr10
SRR5034720	9951	10008.9	14444	-0.01305	chr10
SRR5034723	9525	9840.7	14205	-0.07234	chr10
SRR5034729	10840	9295.2	13414	0.37506	chr10
SRR5034733	9370	9884.1	14273	-0.11713	chr10
SRR5034735	9474	9866.5	14243	-0.08968	chr10
SRR5034740	9802	10103.0	14588	-0.06712	chr10
SRR5034741	9403	9749.8	14063	-0.08039	chr10
SRR5034742	9502	9881.4	14261	-0.08663	chr10
SRR5034744	9416	9951.3	14364	-0.12131	chr10
SRR5034747	9715	9853.0	14225	-0.03156	chr10
SRR5034749	9235	9538.1	13766	-0.07169	chr10
SRR5034751	9135	9674.5	13956	-0.12601	chr10
SRR5034754	11179	9991.3	14434	0.26733	chr10
SRR5034756	9878	9982.0	14407	-0.02351	chr10
SRR5034717	11283	11288.0	16367	-0.00099	chr11
SRR5034720	10666	11315.4	16392	-0.12792	chr11
SRR5034723	10745	11239.4	16276	-0.09817	chr11
SRR5034729	9759	10637.5	15414	-0.18393	chr11
SRR5034733	10806	11168.8	16183	-0.07235	chr11
SRR5034735	10748	11130.7	16153	-0.07620	chr11
SRR5034740	11089	11417.4	16567	-0.06377	chr11
SRR5034741	11126	10851.5	15708	0.05652	chr11
SRR5034742	11123	11195.2	16220	-0.01438	chr11
SRR5034744	10550	11238.9	16289	-0.13642	chr11
SRR5034747	11088	11163.3	16170	-0.01504	chr11
SRR5034749	10461	10804.4	15664	-0.07067	chr11
SRR5034751	10311	11057.6	16019	-0.15049	chr11
SRR5034754	10975	11275.5	16348	-0.05923	chr11
SRR5034756	11999	11200.5	16237	0.15854	chr11
SRR5034717	10667	11207.5	16251	-0.10717	chr12
SRR5034720	11319	11197.4	16225	0.02419	chr12
SRR5034723	10604	11116.2	16117	-0.10241	chr12
SRR5034729	10092	10526.4	15243	-0.09210	chr12
SRR5034733	11283	11052.5	16008	0.04652	chr12
SRR5034735	10584	11097.0	16078	-0.10299	chr12
SRR5034740	10801	11366.4	16486	-0.11044	chr12
SRR5034741	10120	10853.1	15724	-0.15050	chr12
SRR5034742	10649	11189.3	16233	-0.10712	chr12
SRR5034744	10485	11164.8	16182	-0.13550	chr12
SRR5034747	11107	10955.5	15859	0.03090	chr12
SRR5034749	10823	10787.1	15618	0.00742	chr12
SRR5034751	10271	10945.6	15854	-0.13743	chr12
SRR5034754	10886	11256.1	16324	-0.07304	chr12
SRR5034756	11567	11141.8	16156	0.08480	chr12
SRR5034717	11256	11366.9	16670	-0.02090	chr13
SRR5034720	11003	11462.4	16818	-0.08577	chr13
SRR5034723	10774	11333.4	16643	-0.10536	chr13
SRR5034729	10995	10825.5	15895	0.03343	chr13
SRR5034733	11174	11275.1	16552	-0.01916	chr13
SRR5034735	11989	11211.1	16440	0.14877	chr13
SRR5034740	13374	11563.4	17027	0.33139	chr13
SRR5034741	10771	11026.8	16168	-0.04976	chr13
SRR5034742	11479	11347.3	16674	0.02473	chr13
SRR5034744	10862	11231.0	16486	-0.07021	chr13
SRR5034747	11345	11243.4	16510	0.01929	chr13
SRR5034749	10954	11085.3	16273	-0.02531	chr13
SRR5034751	10607	11157.7	16377	-0.10552	chr13
SRR5034754	11906	11445.2	16830	0.08558	chr13
SRR5034756	11292	11359.0	16676	-0.01260	chr13
SRR5034717	11994	11495.2	16838	0.09337	chr14
SRR5034720	11458	11453.8	16782	0.00079	chr14
SRR5034723	11589	11418.0	16733	0.03218	chr14
SRR5034729	11948	10752.8	15760	0.23870	chr14
SRR5034733	11522	11366.3	16647	0.02948	chr14
SRR5034735	11399	11447.2	16774	-0.00905	chr14
SRR5034740	11721	11701.7	17146	0.00354	chr14
SRR5034741	10639	10924.3	15949	-0.05677	chr14
SRR5034742	11582	11481.3	16809	0.01891	chr14
SRR5034744	11175	11446.4	16772	-0.05095	chr14
SRR5034747	10839	11340.9	16589	-0.09563	chr14
SRR5034749	10429	10937.7	16002	-0.10045	chr14
SRR5034751	10721	11309.4	16547	-0.11234	chr14
SRR5034754	11545	11490.1	16817	0.01030	chr14
SRR5034756	10680	11355.1	16618	-0.12827	chr14
SRR5034717	8852	8672.2	12676	0.04491	chr15
SRR5034720	8589	8713.1	12730	-0.03091	chr15
SRR5034723	8652	8712.4	12723	-0.01507	chr15
SRR5034729	8292	8215.0	11992	0.02037	chr15
SRR5034733	8210	8599.8	12551	-0.09867	chr15
SRR5034735	8196	8604.7	12573	-0.10300	chr15
SRR5034740	8610	8807.2	12893	-0.04826	chr15
SRR5034741	8259	8420.3	12298	-0.04160	chr15
SRR5034742	8147	8668.9	12659	-0.13080	chr15
SRR5034744	8452	8633.7	12612	-0.04567	chr15
SRR5034747	9148	8490.0	12388	0.16880	chr15
SRR5034749	8041	8450.4	12341	-0.10523	chr15
SRR5034751	8207	8543.1	12452	-0.08600	chr15
SRR5034754	9211	8714.6	12736	0.12344	chr15
SRR5034756	8052	8632.1	12609	-0.14585	chr15
SRR5034717	14399	13381.3	19504	0.16622	chr16
SRR5034720	13854	13374.8	19491	0.07834	chr16
SRR5034723	13132	13347.8	19454	-0.03534	chr16
SRR5034729	11989	12537.0	18278	-0.09546	chr16
SRR5034733	13360	13351.0	19471	0.00147	chr16
SRR5034735	14199	13265.6	19338	0.15371	chr16
SRR5034740	12652	13509.0	19712	-0.13816	chr16
SRR5034741	12666	12743.4	18559	-0.01331	chr16
SRR5034742	13437	13271.8	19336	0.02724	chr16
SRR5034744	12896	13277.5	19344	-0.06288	chr16
SRR5034747	12615	13224.5	19259	-0.10099	chr16
SRR5034749	12684	12949.5	18875	-0.04481	chr16
SRR5034751	12358	13080.1	19054	-0.12088	chr16
SRR5034754	12909	13415.3	19543	-0.08263	chr16
SRR5034756	12957	13263.5	19331	-0.05052	chr16
SRR5034717	6874	6236.5	9013	0.22960	chr17
SRR5034720	6178	6305.3	9138	-0.04495	chr17
SRR5034723	6043	6212.7	8984	-0.06122	chr17
SRR5034729	5762	5899.0	8515	-0.05238	chr17
SRR5034733	6638	6216.5	8976	0.15273	chr17
SRR5034735	6060	6207.9	8964	-0.05366	chr17
SRR5034740	6418	6341.4	9184	0.02696	chr17
SRR5034741	5855	6061.9	8773	-0.07633	chr17
SRR5034742	6857	6215.7	8986	0.23149	chr17
SRR5034744	6190	6245.9	9021	-0.02015	chr17
SRR5034747	6128	6174.6	8931	-0.01690	chr17
SRR5034749	6009	6049.5	8728	-0.01511	chr17
SRR5034751	5691	6116.3	8831	-0.15665	chr17
SRR5034754	5768	6318.5	9150	-0.19444	chr17
SRR5034756	6063	6216.5	8988	-0.05540	chr17
SRR5034717	9533	10100.3	14680	-0.12388	chr18
SRR5034720	9997	10104.3	14681	-0.02345	chr18
SRR5034723	9766	10059.2	14612	-0.06439	chr18
SRR5034729	9670	9526.5	13833	0.03331	chr18
SRR5034733	9809	10011.4	14555	-0.04456	chr18
SRR5034735	9347	9957.1	14460	-0.13548	chr18
SRR5034740	10055	10183.1	14813	-0.02767	chr18
SRR5034741	9139	9731.8	14120	-0.13509	chr18
SRR5034742	9902	10003.5	14545	-0.02234	chr18
SRR5034744	10056	10060.5	14617	-0.00099	chr18
SRR5034747	9822	9996.6	14523	-0.03857	chr18
SRR5034749	9233	9660.7	14037	-0.09772	chr18
SRR5034751	9169	9807.3	14249	-0.14370	chr18
SRR5034754	10380	10125.8	14720	0.05533	chr18
SRR5034756	9581	10084.8	14652	-0.11030	chr18
SRR5034717	11590	10344.1	14986	0.26840	chr19
SRR5034720	10022	10418.7	15108	-0.08460	chr19
SRR5034723	10117	10373.4	15025	-0.05512	chr19
SRR5034729	10459	9716.4	14069	0.17060	chr19
SRR5034733	9813	10291.8	14887	-0.10419	chr19
SRR5034735	10459	10298.7	14912	0.03474	chr19
SRR5034740	10211	10473.3	15186	-0.05566	chr19
SRR5034741	9876	10022.3	14517	-0.03255	chr19
SRR5034742	10346	10291.3	14903	0.01186	chr19
SRR5034744	10084	10368.2	15024	-0.06105	chr19
SRR5034747	9760	10250.7	14834	-0.10707	chr19
SRR5034749	9693	9972.3	14423	-0.06275	chr19
SRR5034751	9344	10107.2	14641	-0.16833	chr19
SRR5034754	9968	10404.1	15078	-0.09331	chr19
SRR5034756	10094	10294.1	14917	-0.04328	chr19
SRR5034717	13160	12222.9	17779	0.16866	chr1
SRR5034720	12568	12261.5	17846	0.05488	chr1
SRR5034723	11750	12278.6	17877	-0.09442	chr1
SRR5034729	11430	11664.0	16978	-0.04404	chr1
SRR5034733	14936	12080.6	17580	0.51922	chr1
SRR5034735	11749	12206.9	17763	-0.08242	chr1
SRR5034740	12131	12421.0	18109	-0.05099	chr1
SRR5034741	11162	11924.3	17332	-0.14096	chr1
SRR5034742	12493	12185.8	17727	0.05544	chr1
SRR5034744	11674	12233.5	17802	-0.10047	chr1
SRR5034747	11959	12130.0	17651	-0.03098	chr1
SRR5034749	11513	11907.8	17326	-0.07287	chr1
SRR5034751	11655	11935.1	17344	-0.05178	chr1
SRR5034754	11959	12253.0	17839	-0.05263	chr1
SRR5034756	11425	12221.1	17787	-0.14303	chr1
SRR5034717	11390	11558.9	16937	-0.03140	chr20
SRR5034720	11228	11551.6	16902	-0.06047	chr20
SRR5034723	10787	11480.6	16799	-0.13041	chr20
SRR5034729	10951	10928.1	16014	0.00450	chr20
SRR5034733	10960	11362.6	16608	-0.07675	chr20
SRR5034735	10841	11394.9	16677	-0.10485	chr20
SRR5034740	11710	11706.0	17172	0.00072	chr20
SRR5034741	10533	11125.2	16261	-0.11530	chr20
SRR5034742	11612	11412.1	16693	0.03785	chr20
