INDV	O(HOM)	E(HOM)	N_SITES	F	chr
G.hol._2F_H	130073	140045.9	244578	-0.09541	chr10
G.hol._3F_H	126254	140084.6	244639	-0.13228	chr10
G.hol._4F_H	146454	139721.2	243939	0.06460	chr10
G.hol._6M_H	129397	139845.0	244178	-0.10014	chr10
G.hol._7M_H	132955	139912.2	244322	-0.06663	chr10
G.hol._8M_H	148880	139990.3	244479	0.08508	chr10
G.hol._2F_H	176217	167366.6	291696	0.07118	chr11
G.hol._3F_H	161697	167538.5	292033	-0.04692	chr11
G.hol._4F_H	162514	167363.8	291701	-0.03901	chr11
G.hol._6M_H	159850	167435.7	291827	-0.06098	chr11
G.hol._7M_H	161456	167392.1	291752	-0.04773	chr11
G.hol._8M_H	174718	167560.9	292082	0.05748	chr11
G.hol._2F_H	167480	171752.8	297997	-0.03385	chr12
G.hol._3F_H	167689	171761.5	298014	-0.03226	chr12
G.hol._4F_H	156506	171598.5	297689	-0.11970	chr12
G.hol._6M_H	154804	171676.5	297853	-0.13372	chr12
G.hol._7M_H	158372	171624.9	297742	-0.10508	chr12
G.hol._8M_H	181287	171758.7	298018	0.07547	chr12
G.hol._2F_H	156231	154735.3	269664	0.01301	chr13
G.hol._3F_H	138031	154776.4	269756	-0.14564	chr13
G.hol._4F_H	186308	154263.2	268737	0.27993	chr13
G.hol._6M_H	151263	154715.4	269659	-0.03004	chr13
G.hol._7M_H	146065	154434.0	269042	-0.07302	chr13
G.hol._8M_H	162231	154811.0	269810	0.06452	chr13
G.hol._2F_H	166632	155624.3	275339	0.09195	chr14
G.hol._3F_H	155819	156116.2	276305	-0.00247	chr14
G.hol._4F_H	150274	155847.2	275799	-0.04646	chr14
G.hol._6M_H	169642	155654.5	275381	0.11683	chr14
G.hol._7M_H	138094	156134.2	276349	-0.15007	chr14
G.hol._8M_H	165058	156132.5	276328	0.07426	chr14
G.hol._2F_H	126508	135517.7	235662	-0.08997	chr15
G.hol._3F_H	125344	135552.4	235726	-0.10191	chr15
G.hol._4F_H	132567	135326.9	235309	-0.02760	chr15
G.hol._6M_H	127197	135497.8	235623	-0.08290	chr15
G.hol._7M_H	125831	135450.2	235537	-0.09611	chr15
G.hol._8M_H	142367	135543.3	235727	0.06811	chr15
G.hol._2F_H	141494	143246.0	249231	-0.01653	chr16
G.hol._3F_H	144451	143228.0	249202	0.01154	chr16
G.hol._4F_H	137470	143114.5	248978	-0.05332	chr16
G.hol._6M_H	139989	143177.5	249119	-0.03010	chr16
G.hol._7M_H	132286	143092.0	248933	-0.10210	chr16
G.hol._8M_H	147081	143314.3	249371	0.03552	chr16
G.hol._2F_H	88696	93834.5	166286	-0.07092	chr17
G.hol._3F_H	87867	93901.8	166420	-0.08322	chr17
G.hol._4F_H	87096	93718.5	166060	-0.09155	chr17
G.hol._6M_H	91621	93718.3	166054	-0.02899	chr17
G.hol._7M_H	95900	93619.8	165860	0.03156	chr17
G.hol._8M_H	100543	93814.7	166250	0.09289	chr17
G.hol._2F_H	169358	181986.5	318163	-0.09274	chr18
G.hol._3F_H	204624	181665.4	317556	0.16895	chr18
G.hol._4F_H	166873	181735.0	317683	-0.10932	chr18
G.hol._6M_H	172275	181879.9	317952	-0.07059	chr18
G.hol._7M_H	169282	181827.5	317850	-0.09223	chr18
G.hol._8M_H	187877	182070.8	318337	0.04261	chr18
G.hol._2F_H	134402	149413.7	259906	-0.13586	chr19
G.hol._3F_H	143473	149442.8	259971	-0.05401	chr19
G.hol._4F_H	158317	149086.6	259288	0.08376	chr19
G.hol._6M_H	148556	149358.5	259812	-0.00727	chr19
G.hol._7M_H	132184	149369.7	259820	-0.15560	chr19
G.hol._8M_H	156064	149475.4	260034	0.05959	chr19
G.hol._2F_H	165320	174248.7	304185	-0.06872	chr1
G.hol._3F_H	169130	174269.7	304217	-0.03955	chr1
G.hol._4F_H	171465	174020.6	303737	-0.01970	chr1
G.hol._6M_H	163422	174155.4	304004	-0.08266	chr1
G.hol._7M_H	172282	174003.9	303713	-0.01328	chr1
G.hol._8M_H	183062	174343.8	304369	0.06705	chr1
G.hol._2F_H	172792	166579.3	293033	0.04913	chr20
G.hol._3F_H	156319	166751.5	293365	-0.08240	chr20
G.hol._4F_H	218191	165956.8	291849	0.41491	chr20
G.hol._6M_H	170673	166475.3	292821	0.03322	chr20
G.hol._7M_H	148611	166568.2	292990	-0.14204	chr20
G.hol._8M_H	172519	166687.6	293245	0.04608	chr20
G.hol._2F_H	116686	130561.7	229483	-0.14027	chr21
G.hol._3F_H	115193	130582.2	229528	-0.15553	chr21
G.hol._4F_H	132421	130338.5	229055	0.02110	chr21
G.hol._6M_H	122485	130535.7	229443	-0.08140	chr21
G.hol._7M_H	124648	130429.4	229230	-0.05852	chr21
G.hol._8M_H	138550	130547.7	229468	0.08090	chr21
G.hol._2F_H	168197	158204.5	275299	0.08534	chr22
G.hol._3F_H	148871	158375.6	275656	-0.08104	chr22
G.hol._4F_H	149677	158252.7	275394	-0.07321	chr22
G.hol._6M_H	154614	158288.6	275468	-0.03136	chr22
G.hol._7M_H	150116	158266.2	275425	-0.06957	chr22
G.hol._8M_H	167421	158369.8	275626	0.07719	chr22
G.hol._2F_H	157411	169471.3	295493	-0.09570	chr23
G.hol._3F_H	159089	169441.8	295448	-0.08216	chr23
G.hol._4F_H	169439	169074.4	294737	0.00290	chr23
G.hol._6M_H	155599	169288.9	295142	-0.10878	chr23
G.hol._7M_H	159341	169264.7	295111	-0.07886	chr23
G.hol._8M_H	177581	169474.0	295506	0.06432	chr23
G.hol._2F_H	67366	77808.7	135444	-0.18119	chr24
G.hol._3F_H	68506	77764.2	135336	-0.16081	chr24
G.hol._4F_H	73030	77674.0	135172	-0.08077	chr24
G.hol._6M_H	82464	77598.6	135022	0.08473	chr24
G.hol._7M_H	75542	77575.9	134976	-0.03543	chr24
G.hol._8M_H	85631	77745.3	135316	0.13697	chr24
G.hol._2F_H	149555	166694.8	292438	-0.13631	chr2
G.hol._3F_H	160356	166654.2	292345	-0.05011	chr2
G.hol._4F_H	153916	166557.2	292169	-0.10064	chr2
G.hol._6M_H	163135	166564.0	292172	-0.02730	chr2
G.hol._7M_H	196427	166245.1	291558	0.24085	chr2
G.hol._8M_H	176959	166626.0	292294	0.08222	chr2
G.hol._2F_H	165097	175079.3	306277	-0.07609	chr3
G.hol._3F_H	214884	174746.6	305641	0.30664	chr3
G.hol._4F_H	157637	174948.5	306029	-0.13207	chr3
G.hol._6M_H	159495	175007.5	306159	-0.11828	chr3
G.hol._7M_H	168099	174977.2	306098	-0.05246	chr3
G.hol._8M_H	184744	175147.2	306407	0.07311	chr3
G.hol._2F_H	168811	181083.9	316932	-0.09034	chr4
G.hol._3F_H	179491	180967.3	316714	-0.01088	chr4
G.hol._4F_H	166895	180829.9	316455	-0.10275	chr4
G.hol._6M_H	162064	180951.5	316672	-0.13916	chr4
G.hol._7M_H	199749	180715.7	316215	0.14047	chr4
G.hol._8M_H	187274	181113.8	317004	0.04533	chr4
G.hol._2F_H	179667	193252.4	336297	-0.09497	chr5
G.hol._3F_H	184247	193284.4	336370	-0.06316	chr5
G.hol._4F_H	185948	193009.2	335821	-0.04944	chr5
G.hol._6M_H	189444	193161.6	336117	-0.02601	chr5
G.hol._7M_H	189655	193022.7	335841	-0.02358	chr5
G.hol._8M_H	201264	193305.5	336391	0.05562	chr5
G.hol._2F_H	161144	166889.4	290975	-0.04630	chr6
G.hol._3F_H	176740	166640.7	290492	0.08154	chr6
G.hol._4F_H	153520	166750.1	290711	-0.10673	chr6
G.hol._6M_H	158360	166794.6	290789	-0.06802	chr6
G.hol._7M_H	151566	166679.1	290563	-0.12199	chr6
G.hol._8M_H	178143	166882.0	290961	0.09076	chr6
G.hol._2F_H	159299	169952.3	297414	-0.08358	chr7
G.hol._3F_H	162946	170062.3	297645	-0.05578	chr7
G.hol._4F_H	186936	169655.5	296922	0.13578	chr7
G.hol._6M_H	156093	169766.4	297039	-0.10743	chr7
G.hol._7M_H	156728	169969.8	297484	-0.10385	chr7
G.hol._8M_H	179578	169946.7	297464	0.07553	chr7
G.hol._2F_H	149136	151632.8	265507	-0.02193	chr8
G.hol._3F_H	146400	151699.2	265633	-0.04651	chr8
G.hol._4F_H	145064	151453.4	265158	-0.05619	chr8
G.hol._6M_H	151537	151345.8	264942	0.00168	chr8
G.hol._7M_H	146735	151418.9	265102	-0.04120	chr8
G.hol._8M_H	158403	151707.0	265658	0.05876	chr8
G.hol._2F_H	188310	165833.5	289487	0.18177	chr9
G.hol._3F_H	165969	166138.5	290099	-0.00137	chr9
G.hol._4F_H	154636	165844.8	289500	-0.09065	chr9
G.hol._6M_H	149250	165949.8	289707	-0.13494	chr9
G.hol._7M_H	185616	165662.7	289147	0.16159	chr9
G.hol._8M_H	170061	166183.9	290168	0.03127	chr9
