INDV	O(HOM)	E(HOM)	N_SITES	F	chr
Pwin_T_F013	10536	9586.6	14864	0.17990	chr10
Pwin_T_F014	10033	9616.6	14900	0.07881	chr10
Pwin_T_F015	9386	9746.7	15151	-0.06674	chr10
Pwin_T_M005	9053	10202.3	15909	-0.20140	chr10
Pwin_T_M006	8901	10237.2	15956	-0.23366	chr10
Pwin_T_M007	9812	10024.1	15581	-0.03817	chr10
Pwin_T_F013	11039	10652.2	16021	0.07205	chr11
Pwin_T_F014	9608	10744.5	16173	-0.20935	chr11
Pwin_T_F015	9153	10885.1	16382	-0.31510	chr11
Pwin_T_M005	10516	11283.9	17059	-0.13297	chr11
Pwin_T_M006	10359	11345.5	17192	-0.16873	chr11
Pwin_T_M007	9686	11181.0	16892	-0.26178	chr11
Pwin_T_F013	10442	11865.2	18255	-0.22274	chr12
Pwin_T_F014	13414	11692.2	18011	0.27249	chr12
Pwin_T_F015	11169	11981.7	18486	-0.12495	chr12
Pwin_T_M005	12581	12364.4	19131	0.03201	chr12
Pwin_T_M006	9842	12505.2	19358	-0.38862	chr12
Pwin_T_M007	11157	12352.3	19107	-0.17696	chr12
Pwin_T_F013	8170	9518.8	14156	-0.29087	chr13
Pwin_T_F014	8524	9449.9	14072	-0.20033	chr13
Pwin_T_F015	9593	9572.6	14249	0.00435	chr13
Pwin_T_M005	10127	9996.9	14943	0.02630	chr13
Pwin_T_M006	8573	10092.0	15140	-0.30092	chr13
Pwin_T_M007	9696	9920.7	14824	-0.04583	chr13
Pwin_T_F013	9726	9807.5	15050	-0.01555	chr14
Pwin_T_F014	10318	9759.4	14973	0.10714	chr14
Pwin_T_F015	9819	9923.1	15216	-0.01967	chr14
Pwin_T_M005	9831	10420.6	16068	-0.10440	chr14
Pwin_T_M006	9240	10412.0	16060	-0.20751	chr14
Pwin_T_M007	9949	10252.6	15786	-0.05487	chr14
Pwin_T_F013	8926	8674.7	13419	0.05297	chr15
Pwin_T_F014	8091	8605.6	13329	-0.10895	chr15
Pwin_T_F015	9304	8762.9	13579	0.11235	chr15
Pwin_T_M005	10975	9081.1	14126	0.37540	chr15
Pwin_T_M006	7992	9095.7	14177	-0.21721	chr15
Pwin_T_M007	8291	9029.8	14026	-0.14788	chr15
Pwin_T_F013	12050	12806.3	20033	-0.10465	chr16
Pwin_T_F014	10540	12778.5	19992	-0.31032	chr16
Pwin_T_F015	12099	13069.5	20455	-0.13141	chr16
Pwin_T_M005	13826	13517.9	21211	0.04005	chr16
Pwin_T_M006	11135	13598.4	21408	-0.31544	chr16
Pwin_T_M007	13640	13429.2	21047	0.02767	chr16
Pwin_T_F013	6425	6407.3	9661	0.00544	chr17
Pwin_T_F014	6232	6422.4	9698	-0.05813	chr17
Pwin_T_F015	6396	6520.5	9835	-0.03756	chr17
Pwin_T_M005	6978	6770.1	10277	0.05929	chr17
Pwin_T_M006	5363	6798.2	10332	-0.40614	chr17
Pwin_T_M007	6808	6724.8	10177	0.02410	chr17
Pwin_T_F013	9279	8979.8	13137	0.07197	chr18
Pwin_T_F014	8978	9061.5	13303	-0.01970	chr18
Pwin_T_F015	7894	9162.8	13458	-0.29541	chr18
Pwin_T_M005	9498	9534.8	14088	-0.00808	chr18
Pwin_T_M006	7800	9600.5	14214	-0.39026	chr18
Pwin_T_M007	8117	9492.2	14016	-0.30400	chr18
Pwin_T_F013	11388	10276.7	16169	0.18860	chr19
Pwin_T_F014	10488	10343.9	16280	0.02427	chr19
Pwin_T_F015	8021	10585.1	16661	-0.42201	chr19
Pwin_T_M005	9867	10897.3	17214	-0.16310	chr19
Pwin_T_M006	9210	10955.1	17315	-0.27439	chr19
Pwin_T_M007	9465	10870.5	17158	-0.22354	chr19
Pwin_T_F013	9840	11458.1	17387	-0.27292	chr1
Pwin_T_F014	9285	11473.1	17444	-0.36646	chr1
Pwin_T_F015	10149	11605.9	17693	-0.23934	chr1
Pwin_T_M005	11268	11996.2	18314	-0.11526	chr1
Pwin_T_M006	9885	12080.2	18443	-0.34501	chr1
Pwin_T_M007	10872	11905.4	18139	-0.16577	chr1
