INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.lat._1F_H	58940	64899.7	114023	-0.12132	chr10
P.lat._2F_H	55082	64932.3	114077	-0.20044	chr10
P.lat._3M_H	57502	64954.9	114117	-0.15160	chr10
P.lat._4M_H	57843	64911.2	114036	-0.14388	chr10
P.lat._6F_H	60545	64986.4	114181	-0.09028	chr10
P.lat._7M_H	57578	64958.2	114122	-0.15012	chr10
P.lat._1F_H	72141	77487.6	136545	-0.09053	chr11
P.lat._2F_H	68034	77473.7	136518	-0.15988	chr11
P.lat._3M_H	69637	77511.7	136597	-0.13328	chr11
P.lat._4M_H	70456	77490.9	136555	-0.11911	chr11
P.lat._6F_H	68996	77577.9	136717	-0.14511	chr11
P.lat._7M_H	74912	77466.4	136503	-0.04327	chr11
P.lat._1F_H	69162	76880.9	134947	-0.13293	chr12
P.lat._2F_H	70064	76915.9	135013	-0.11794	chr12
P.lat._3M_H	69163	76953.3	135086	-0.13401	chr12
P.lat._4M_H	76089	76854.6	134902	-0.01319	chr12
P.lat._6F_H	67624	77019.8	135211	-0.16146	chr12
P.lat._7M_H	67426	76956.7	135095	-0.16393	chr12
P.lat._1F_H	66785	73011.7	128163	-0.11290	chr13
P.lat._2F_H	67154	72988.7	128105	-0.10586	chr13
P.lat._3M_H	66132	73068.9	128271	-0.12566	chr13
P.lat._4M_H	66499	73033.2	128196	-0.11845	chr13
P.lat._6F_H	64747	73133.1	128391	-0.15176	chr13
P.lat._7M_H	66866	73019.9	128164	-0.11160	chr13
P.lat._1F_H	75699	89943.2	160689	-0.20134	chr14
P.lat._2F_H	78565	89921.5	160632	-0.16061	chr14
P.lat._3M_H	78159	89788.4	160380	-0.16474	chr14
P.lat._4M_H	80698	89807.1	160426	-0.12899	chr14
P.lat._6F_H	79166	90004.5	160815	-0.15306	chr14
P.lat._7M_H	80577	89844.8	160503	-0.13116	chr14
P.lat._1F_H	52337	61531.7	108085	-0.19751	chr15
P.lat._2F_H	55841	61529.0	108072	-0.12221	chr15
P.lat._3M_H	55258	61535.6	108086	-0.13486	chr15
P.lat._4M_H	55341	61576.2	108160	-0.13385	chr15
P.lat._6F_H	57843	61594.3	108199	-0.08049	chr15
P.lat._7M_H	53553	61576.3	108170	-0.17220	chr15
P.lat._1F_H	63095	68844.7	121374	-0.10946	chr16
P.lat._2F_H	60227	68917.3	121506	-0.16525	chr16
P.lat._3M_H	61426	68785.9	121257	-0.14027	chr16
P.lat._4M_H	60166	68892.0	121449	-0.16603	chr16
P.lat._6F_H	61848	68991.3	121657	-0.13564	chr16
P.lat._7M_H	60643	68898.0	121462	-0.15705	chr16
P.lat._1F_H	46744	48970.1	86435	-0.05942	chr17
P.lat._2F_H	42398	49010.3	86506	-0.17635	chr17
P.lat._3M_H	44467	49009.7	86511	-0.12114	chr17
P.lat._4M_H	48572	48942.7	86390	-0.00990	chr17
P.lat._6F_H	44947	49079.6	86641	-0.11002	chr17
P.lat._7M_H	42442	49011.1	86513	-0.17517	chr17
P.lat._1F_H	73393	82149.9	145302	-0.13866	chr18
P.lat._2F_H	73280	82082.5	145143	-0.13959	chr18
P.lat._3M_H	74407	82111.5	145201	-0.12212	chr18
P.lat._4M_H	72472	82045.3	145065	-0.15191	chr18
P.lat._6F_H	74172	82274.1	145541	-0.12806	chr18
P.lat._7M_H	70186	82198.9	145400	-0.19007	chr18
P.lat._1F_H	60991	66881.8	117667	-0.11600	chr19
P.lat._2F_H	59405	66896.0	117694	-0.14747	chr19
P.lat._3M_H	59525	66882.4	117647	-0.14493	chr19
P.lat._4M_H	56919	66884.8	117669	-0.19624	chr19
P.lat._6F_H	60722	66945.1	117784	-0.12241	chr19
P.lat._7M_H	61122	66888.7	117674	-0.11355	chr19
