INDV	O(HOM)	E(HOM)	N_SITES	F	chr
reticulata_F_04_lab	225852	216184.4	309499	0.10360	chr10
reticulata_F_07_lab	224638	216363.0	309745	0.08861	chr10
reticulata_M_08_lab	226207	216290.0	309650	0.10622	chr10
reticulata_M_11_lab	221404	216293.2	309656	0.05474	chr10
reticulata_M_J001_Aripo_high	231932	215148.4	307984	0.18079	chr10
reticulata_M_J003_Aripo_high	234978	214644.4	307267	0.21953	chr10
reticulata_M_J004_Aripo_high	223661	214865.2	307570	0.09488	chr10
reticulata_M_J005_Aripo_high	229592	215631.8	308722	0.14996	chr10
reticulata_M_J012_Yarra_low	253893	215094.1	307896	0.41808	chr10
reticulata_M_J013_Yarra_low	227087	215550.2	308570	0.12403	chr10
reticulata_M_J014_Yarra_low	228794	214570.4	307101	0.15372	chr10
reticulata_M_J015_Yarra_low	207495	214739.7	307374	-0.07821	chr10
reticulata_M_J016_Quare_high	222864	215841.0	308990	0.07540	chr10
reticulata_M_J017_Quare_high	223239	215605.2	308648	0.08205	chr10
reticulata_M_J019_Quare_high	224026	215703.7	308770	0.08942	chr10
reticulata_M_J020_Quare_high	222588	215103.4	307920	0.08064	chr10
reticulata_M_J032_Aripo_low	250590	215400.5	308364	0.37853	chr10
reticulata_M_J033_Aripo_low	253194	215036.4	307859	0.41108	chr10
reticulata_M_J034_Aripo_low	241610	215162.6	308006	0.28486	chr10
reticulata_M_J035_Aripo_low	263733	214198.7	306642	0.53583	chr10
reticulata_M_J041_Yarra_high	230397	215513.4	308504	0.16005	chr10
reticulata_M_J042_Yarra_high	241281	215251.6	308145	0.28021	chr10
reticulata_M_J043_Yarra_high	224736	214486.1	306988	0.11081	chr10
reticulata_M_J044_Yarra_high	224328	214366.8	306834	0.10773	chr10
reticulata_M_J051_Quare_low	261765	213634.0	305768	0.52240	chr10
reticulata_M_J052_Quare_low	265625	214863.1	307564	0.54759	chr10
reticulata_M_J053_Quare_low	264393	214285.5	306716	0.54211	chr10
reticulata_M_J054_Quare_low	266938	215406.4	308370	0.55432	chr10
reticulata_F_04_lab	308147	273180.0	390101	0.29906	chr11
reticulata_F_07_lab	288322	273430.1	390474	0.12723	chr11
reticulata_M_08_lab	292882	273139.9	390039	0.16888	chr11
reticulata_M_11_lab	277120	273623.4	390727	0.02986	chr11
reticulata_M_J001_Aripo_high	283971	272536.9	389125	0.09807	chr11
reticulata_M_J003_Aripo_high	283390	271608.5	387739	0.10145	chr11
reticulata_M_J004_Aripo_high	285169	271672.8	387854	0.11617	chr11
reticulata_M_J005_Aripo_high	300097	272480.1	389050	0.23691	chr11
reticulata_M_J012_Yarra_low	316635	272088.2	388510	0.38263	chr11
reticulata_M_J013_Yarra_low	343668	271758.4	388015	0.61854	chr11
reticulata_M_J014_Yarra_low	287046	271473.0	387574	0.13413	chr11
reticulata_M_J015_Yarra_low	294196	270866.5	386681	0.20144	chr11
reticulata_M_J016_Quare_high	280475	272943.0	389729	0.06449	chr11
reticulata_M_J017_Quare_high	288316	272495.5	389076	0.13570	chr11
reticulata_M_J019_Quare_high	280943	272957.0	389762	0.06837	chr11
reticulata_M_J020_Quare_high	285005	271883.2	388193	0.11282	chr11
reticulata_M_J032_Aripo_low	318099	272410.9	388950	0.39204	chr11
reticulata_M_J033_Aripo_low	314179	271955.1	388284	0.36297	chr11
reticulata_M_J034_Aripo_low	307740	272091.8	388480	0.30629	chr11
reticulata_M_J035_Aripo_low	307858	271622.4	387793	0.31192	chr11
reticulata_M_J041_Yarra_high	280008	272688.3	389349	0.06274	chr11
reticulata_M_J042_Yarra_high	291171	272425.9	388958	0.16086	chr11
reticulata_M_J043_Yarra_high	282665	271103.8	387056	0.09971	chr11
reticulata_M_J044_Yarra_high	291502	271175.2	387157	0.17526	chr11
reticulata_M_J051_Quare_low	328790	270104.5	385663	0.50784	chr11
reticulata_M_J052_Quare_low	320775	271747.5	388047	0.42156	chr11
reticulata_M_J053_Quare_low	329010	270950.0	386868	0.50087	chr11
reticulata_M_J054_Quare_low	331804	272293.6	388821	0.51070	chr11
reticulata_F_04_lab	278123	253300.0	361054	0.23037	chr12
reticulata_F_07_lab	275791	253559.0	361435	0.20609	chr12
reticulata_M_08_lab	262096	253599.8	361464	0.07877	chr12
reticulata_M_11_lab	257340	253549.4	361418	0.03514	chr12
reticulata_M_J001_Aripo_high	263619	252728.0	360220	0.10132	chr12
reticulata_M_J003_Aripo_high	274427	251730.9	358762	0.21205	chr12
reticulata_M_J004_Aripo_high	278437	251901.6	359010	0.24774	chr12
reticulata_M_J005_Aripo_high	269945	252995.0	360578	0.15755	chr12
reticulata_M_J012_Yarra_low	262948	252653.4	360111	0.09580	chr12
reticulata_M_J013_Yarra_low	321172	252114.3	359316	0.64418	chr12
reticulata_M_J014_Yarra_low	277676	251779.6	358834	0.24190	chr12
reticulata_M_J015_Yarra_low	259159	251765.0	358810	0.06907	chr12
reticulata_M_J016_Quare_high	255476	253208.6	360888	0.02106	chr12
reticulata_M_J017_Quare_high	262882	252716.7	360209	0.09457	chr12
reticulata_M_J019_Quare_high	265008	253112.0	360759	0.11051	chr12
reticulata_M_J020_Quare_high	263840	252194.8	359419	0.10861	chr12
reticulata_M_J032_Aripo_low	306620	252438.9	359819	0.50457	chr12
reticulata_M_J033_Aripo_low	304683	251995.4	359146	0.49172	chr12
reticulata_M_J034_Aripo_low	307090	251738.7	358805	0.51698	chr12
reticulata_M_J035_Aripo_low	270386	252315.8	359603	0.16843	chr12
reticulata_M_J041_Yarra_high	267582	252706.4	360180	0.13841	chr12
reticulata_M_J042_Yarra_high	275477	252634.0	360065	0.21263	chr12
reticulata_M_J043_Yarra_high	263813	251218.6	357987	0.11796	chr12
reticulata_M_J044_Yarra_high	267112	251610.8	358552	0.14495	chr12
reticulata_M_J051_Quare_low	298092	250935.8	357658	0.44186	chr12
reticulata_M_J052_Quare_low	298571	252167.9	359429	0.43262	chr12
reticulata_M_J053_Quare_low	302628	251535.8	358503	0.47764	chr12
reticulata_M_J054_Quare_low	308278	252727.1	360229	0.51674	chr12
reticulata_F_04_lab	262422	246838.2	351054	0.14953	chr13
reticulata_F_07_lab	263594	247358.4	351828	0.15541	chr13
reticulata_M_08_lab	275995	246790.4	350994	0.28026	chr13
reticulata_M_11_lab	257472	246933.8	351186	0.10108	chr13
reticulata_M_J001_Aripo_high	258912	245912.3	349712	0.12524	chr13
reticulata_M_J003_Aripo_high	256290	244893.7	348196	0.11032	chr13
reticulata_M_J004_Aripo_high	261102	244982.8	348368	0.15591	chr13
reticulata_M_J005_Aripo_high	256918	246492.2	350546	0.10020	chr13
reticulata_M_J012_Yarra_low	303618	245167.8	348704	0.56454	chr13
reticulata_M_J013_Yarra_low	300468	245284.0	348872	0.53273	chr13
reticulata_M_J014_Yarra_low	285978	244256.6	347363	0.40464	chr13
reticulata_M_J015_Yarra_low	273593	244270.2	347426	0.28426	chr13
reticulata_M_J016_Quare_high	250764	246598.3	350676	0.04003	chr13
reticulata_M_J017_Quare_high	254546	246213.7	350129	0.08018	chr13
