INDV	O(HOM)	E(HOM)	N_SITES	F	chr
P.pic._1F_H	42484	53729.2	96073	-0.26557	chr10
P.pic._2F_H	41632	53661.2	95940	-0.28452	chr10
P.pic._3M_H	54578	53569.6	95775	0.02389	chr10
P.pic._4F_H	42958	53614.6	95859	-0.25226	chr10
P.pic._5M_H	47464	53606.4	95847	-0.14541	chr10
P.pic._6M_H	43075	53674.5	95984	-0.25052	chr10
P.pic._1F_H	51847	62309.4	111483	-0.21276	chr11
P.pic._2F_H	50869	62205.8	111290	-0.23097	chr11
P.pic._3M_H	52573	62210.9	111298	-0.19634	chr11
P.pic._4F_H	49497	62209.1	111300	-0.25895	chr11
P.pic._5M_H	52356	62273.4	111428	-0.20176	chr11
P.pic._6M_H	52625	62236.5	111345	-0.19572	chr11
P.pic._1F_H	43634	56884.5	101996	-0.29373	chr12
P.pic._2F_H	44027	56843.0	101917	-0.28433	chr12
P.pic._3M_H	48135	56830.8	101900	-0.19294	chr12
P.pic._4F_H	43673	56774.7	101797	-0.29100	chr12
P.pic._5M_H	48261	56802.4	101843	-0.18964	chr12
P.pic._6M_H	48946	56786.4	101813	-0.17413	chr12
P.pic._1F_H	45798	59558.8	106141	-0.29541	chr13
P.pic._2F_H	48270	59436.3	105912	-0.24026	chr13
P.pic._3M_H	59532	59081.8	105208	0.00976	chr13
P.pic._4F_H	47567	59388.1	105820	-0.25459	chr13
P.pic._5M_H	53040	59495.7	106028	-0.13874	chr13
P.pic._6M_H	48494	59396.7	105844	-0.23473	chr13
P.pic._1F_H	60185	73870.9	133718	-0.22868	chr14
P.pic._2F_H	55890	73812.8	133610	-0.29973	chr14
P.pic._3M_H	58562	73851.8	133674	-0.25559	chr14
P.pic._4F_H	64605	73548.2	133086	-0.15021	chr14
P.pic._5M_H	56414	73734.4	133480	-0.28990	chr14
P.pic._6M_H	60671	73710.0	133415	-0.21839	chr14
P.pic._1F_H	36087	45051.8	80594	-0.25223	chr15
P.pic._2F_H	32542	45016.8	80526	-0.35131	chr15
P.pic._3M_H	33770	45006.9	80512	-0.31649	chr15
P.pic._4F_H	34716	44946.1	80399	-0.28855	chr15
P.pic._5M_H	36731	44987.8	80478	-0.23265	chr15
P.pic._6M_H	34865	44909.5	80332	-0.28356	chr15
P.pic._1F_H	42562	55882.3	99679	-0.30414	chr16
P.pic._2F_H	44257	55813.0	99566	-0.26412	chr16
P.pic._3M_H	41619	55826.4	99587	-0.32466	chr16
P.pic._4F_H	44032	55753.5	99452	-0.26824	chr16
P.pic._5M_H	48924	55802.5	99539	-0.15727	chr16
P.pic._6M_H	44089	55813.2	99557	-0.26802	chr16
P.pic._1F_H	23127	34639.2	63264	-0.40218	chr17
P.pic._2F_H	23243	34602.7	63195	-0.39730	chr17
P.pic._3M_H	35104	34551.2	63116	0.01935	chr17
P.pic._4F_H	32966	34500.9	63016	-0.05383	chr17
P.pic._5M_H	28351	34612.5	63216	-0.21891	chr17
P.pic._6M_H	27246	34568.7	63138	-0.25632	chr17
P.pic._1F_H	39840	61656.3	111565	-0.43712	chr18
P.pic._2F_H	57149	61486.4	111254	-0.08715	chr18
P.pic._3M_H	49903	61608.5	111483	-0.23470	chr18
P.pic._4F_H	68165	61346.1	110989	0.13736	chr18
P.pic._5M_H	44073	61587.1	111434	-0.35136	chr18
P.pic._6M_H	40858	61565.7	111397	-0.41556	chr18
P.pic._1F_H	36818	49097.5	89278	-0.30561	chr19
P.pic._2F_H	37154	49008.2	89119	-0.29554	chr19
P.pic._3M_H	36549	49074.9	89235	-0.31190	chr19
P.pic._4F_H	41676	48961.2	89028	-0.18183	chr19
P.pic._5M_H	43652	48995.1	89094	-0.13325	chr19
P.pic._6M_H	37885	49005.0	89112	-0.27726	chr19
P.pic._1F_H	48851	62126.9	111570	-0.26851	chr1
P.pic._2F_H	47568	62171.0	111662	-0.29506	chr1
P.pic._3M_H	47359	62166.2	111652	-0.29922	chr1
P.pic._4F_H	49054	62054.8	111454	-0.26318	chr1
P.pic._5M_H	59515	61990.8	111320	-0.05019	chr1
P.pic._6M_H	51024	62105.9	111539	-0.22418	chr1
P.pic._1F_H	48016	62658.4	111915	-0.29727	chr20
P.pic._2F_H	50601	62604.1	111811	-0.24393	chr20
P.pic._3M_H	51578	62539.5	111689	-0.22302	chr20
P.pic._4F_H	47591	62486.1	111597	-0.30330	chr20
P.pic._5M_H	54435	62548.7	111712	-0.16504	chr20
P.pic._6M_H	51360	62517.0	111648	-0.22709	chr20
P.pic._1F_H	45218	54148.3	96415	-0.21128	chr21
P.pic._2F_H	42851	54095.1	96306	-0.26638	chr21
P.pic._3M_H	43234	54115.1	96350	-0.25763	chr21
P.pic._4F_H	41826	54069.2	96267	-0.29014	chr21
P.pic._5M_H	46914	54090.9	96307	-0.17000	chr21
P.pic._6M_H	42697	54107.3	96341	-0.27017	chr21
P.pic._1F_H	40318	53579.9	96249	-0.31081	chr22
P.pic._2F_H	38142	53434.7	95978	-0.35946	chr22
P.pic._3M_H	46720	53494.9	96095	-0.15903	chr22
P.pic._4F_H	40656	53453.2	96016	-0.30067	chr22
P.pic._5M_H	48795	53491.3	96090	-0.11025	chr22
P.pic._6M_H	43720	53501.5	96104	-0.22960	chr22
P.pic._1F_H	46222	62463.8	111283	-0.33269	chr23
P.pic._2F_H	50020	62353.9	111079	-0.25313	chr23
P.pic._3M_H	50726	62376.6	111125	-0.23899	chr23
P.pic._4F_H	49976	62288.7	110961	-0.25297	chr23
P.pic._5M_H	49139	62371.8	111125	-0.27142	chr23
P.pic._6M_H	50684	62400.6	111162	-0.24028	chr23
P.pic._1F_H	32025	28323.8	51444	0.16009	chr24
P.pic._2F_H	21964	28320.6	51441	-0.27494	chr24
P.pic._3M_H	20543	28303.9	51403	-0.33598	chr24
P.pic._4F_H	19041	28305.3	51410	-0.40097	chr24
P.pic._5M_H	26104	28306.9	51414	-0.09534	chr24
P.pic._6M_H	21335	28325.7	51451	-0.30230	chr24
P.pic._1F_H	49360	62102.5	110942	-0.26091	chr2
P.pic._2F_H	47445	62014.0	110766	-0.29884	chr2
P.pic._3M_H	48949	62016.1	110775	-0.26800	chr2
P.pic._4F_H	48992	62019.9	110788	-0.26714	chr2
P.pic._5M_H	52844	61957.0	110668	-0.18708	chr2
P.pic._6M_H	49995	62046.9	110834	-0.24703	chr2
P.pic._1F_H	57506	69156.8	123734	-0.21347	chr3
P.pic._2F_H	52638	69156.5	123716	-0.30276	chr3
P.pic._3M_H	56358	69179.8	123766	-0.23489	chr3
P.pic._4F_H	54557	69125.4	123672	-0.26708	chr3
P.pic._5M_H	60352	69159.0	123724	-0.16140	chr3
P.pic._6M_H	59220	69179.3	123772	-0.18243	chr3
P.pic._1F_H	59772	71659.8	127398	-0.21328	chr4
P.pic._2F_H	54482	71554.6	127206	-0.30678	chr4
P.pic._3M_H	59535	71579.7	127251	-0.21635	chr4
P.pic._4F_H	54996	71551.2	127200	-0.29749	chr4
P.pic._5M_H	63416	71537.0	127171	-0.14597	chr4
P.pic._6M_H	57971	71549.2	127188	-0.24404	chr4
P.pic._1F_H	52702	69816.6	125172	-0.30918	chr5
P.pic._2F_H	50767	69683.9	124922	-0.34246	chr5
P.pic._3M_H	55904	69663.8	124888	-0.24916	chr5
P.pic._4F_H	51616	69649.9	124864	-0.32662	chr5
P.pic._5M_H	56535	69640.3	124853	-0.23736	chr5
P.pic._6M_H	59357	69683.7	124928	-0.18693	chr5
P.pic._1F_H	46997	60200.7	107169	-0.28112	chr6
P.pic._2F_H	64876	59988.7	106756	0.10450	chr6
P.pic._3M_H	47697	60097.7	106976	-0.26453	chr6
P.pic._4F_H	58578	59947.2	106681	-0.02930	chr6
P.pic._5M_H	47622	60108.6	107001	-0.26628	chr6
P.pic._6M_H	48084	60112.5	106991	-0.25659	chr6
P.pic._1F_H	62441	69201.9	124126	-0.12309	chr7
P.pic._2F_H	54087	68867.9	123457	-0.27077	chr7
P.pic._3M_H	52379	68935.5	123617	-0.30278	chr7
P.pic._4F_H	54842	68856.4	123453	-0.25669	chr7
P.pic._5M_H	61155	69103.6	123952	-0.14492	chr7
P.pic._6M_H	59802	69035.4	123808	-0.16858	chr7
P.pic._1F_H	34823	44555.7	79966	-0.27486	chr8
P.pic._2F_H	33535	44559.2	79991	-0.31114	chr8
P.pic._3M_H	38559	44261.9	79437	-0.16213	chr8
P.pic._4F_H	33606	44557.9	79988	-0.30911	chr8
P.pic._5M_H	39410	44220.0	79382	-0.13679	chr8
P.pic._6M_H	38123	44286.2	79501	-0.17502	chr8
P.pic._1F_H	45842	59215.5	105629	-0.28814	chr9
P.pic._2F_H	58600	59102.3	105413	-0.01085	chr9
P.pic._3M_H	48370	59122.5	105459	-0.23205	chr9
P.pic._4F_H	46102	59108.2	105428	-0.28079	chr9
P.pic._5M_H	52598	59145.1	105500	-0.14124	chr9
P.pic._6M_H	54906	59140.5	105490	-0.09136	chr9
