INDV	O(HOM)	E(HOM)	N_SITES	F	chr
G.hol._2F_T	24055	25443.1	39303	-0.10015	chr10
G.hol._3F_T	17466	24636.0	37846	-0.54277	chr10
G.hol._4F_T	25118	25838.8	40117	-0.05048	chr10
G.hol._6M_T	23178	25592.6	39654	-0.17172	chr10
G.hol._7M_T	21893	25386.3	39190	-0.25307	chr10
G.hol._8M_T	22140	24922.4	38360	-0.20706	chr10
G.hol._2F_T	27967	28825.5	43944	-0.05678	chr11
G.hol._3F_T	20279	27864.8	42258	-0.52704	chr11
G.hol._4F_T	28449	29214.3	44724	-0.04934	chr11
G.hol._6M_T	26995	29161.0	44612	-0.14019	chr11
G.hol._7M_T	25479	28631.4	43578	-0.21091	chr11
G.hol._8M_T	24746	28108.3	42744	-0.22973	chr11
G.hol._2F_T	27571	28575.8	43765	-0.06615	chr12
G.hol._3F_T	20266	27661.7	42127	-0.51127	chr12
G.hol._4F_T	27630	28983.7	44656	-0.08637	chr12
G.hol._6M_T	26047	28745.4	44143	-0.17525	chr12
G.hol._7M_T	24524	28296.2	43248	-0.25229	chr12
G.hol._8M_T	24763	27860.8	42506	-0.21152	chr12
G.hol._2F_T	24038	25453.2	39347	-0.10186	chr13
G.hol._3F_T	17512	24609.0	37787	-0.53855	chr13
G.hol._4F_T	25442	25774.4	40046	-0.02329	chr13
G.hol._6M_T	23525	25826.1	40122	-0.16096	chr13
G.hol._7M_T	21957	25284.0	38986	-0.24281	chr13
G.hol._8M_T	23054	25004.3	38581	-0.14365	chr13
G.hol._2F_T	20603	21458.5	33156	-0.07313	chr14
G.hol._3F_T	15757	20657.0	31731	-0.44247	chr14
G.hol._4F_T	21957	22171.2	34656	-0.01716	chr14
G.hol._6M_T	20679	21790.4	33870	-0.09200	chr14
G.hol._7M_T	19428	21710.0	33633	-0.19140	chr14
G.hol._8M_T	18712	20839.5	32095	-0.18902	chr14
G.hol._2F_T	20961	22461.9	34332	-0.12644	chr15
G.hol._3F_T	15931	21821.7	33154	-0.51982	chr15
G.hol._4F_T	22156	22891.0	35245	-0.05950	chr15
G.hol._6M_T	20666	22678.4	34767	-0.16647	chr15
G.hol._7M_T	19436	22338.9	34090	-0.24703	chr15
G.hol._8M_T	19021	21892.5	33309	-0.25152	chr15
G.hol._2F_T	30416	32179.9	49467	-0.10204	chr16
G.hol._3F_T	22781	31001.1	47313	-0.50393	chr16
G.hol._4F_T	31584	32603.1	50393	-0.05728	chr16
G.hol._6M_T	30162	32424.8	49950	-0.12912	chr16
G.hol._7M_T	27682	31891.0	48840	-0.24833	chr16
G.hol._8M_T	27666	31578.0	48404	-0.23250	chr16
G.hol._2F_T	15835	15791.7	24315	0.00508	chr17
G.hol._3F_T	10686	15185.2	23217	-0.56017	chr17
G.hol._4F_T	14649	15699.2	24175	-0.12391	chr17
G.hol._6M_T	14208	15683.9	24145	-0.17443	chr17
G.hol._7M_T	13771	15481.0	23717	-0.20763	chr17
G.hol._8M_T	14211	15462.0	23695	-0.15194	chr17
G.hol._2F_T	25540	27093.8	41588	-0.10720	chr18
G.hol._3F_T	19790	26179.1	39876	-0.46646	chr18
G.hol._4F_T	26109	27310.0	42007	-0.08172	chr18
G.hol._6M_T	25305	27156.4	41642	-0.12781	chr18
G.hol._7M_T	23665	26866.9	41078	-0.22531	chr18
G.hol._8M_T	23001	26254.3	40093	-0.23509	chr18
G.hol._2F_T	25842	27826.0	42815	-0.13236	chr19
G.hol._3F_T	19508	26933.0	41220	-0.51970	chr19
G.hol._4F_T	27376	28201.5	43640	-0.05347	chr19
G.hol._6M_T	25533	28082.7	43343	-0.16708	chr19
G.hol._7M_T	24302	27822.4	42791	-0.23519	chr19
G.hol._8M_T	24926	27439.0	42127	-0.17109	chr19
G.hol._2F_T	30164	31781.0	49005	-0.09388	chr1
G.hol._3F_T	22581	30710.0	47160	-0.49417	chr1
G.hol._4F_T	30977	32290.2	50181	-0.07340	chr1
G.hol._6M_T	29237	31966.6	49512	-0.15557	chr1
G.hol._7M_T	27433	31395.0	48387	-0.23317	chr1
G.hol._8M_T	27311	31047.4	47719	-0.22412	chr1
G.hol._2F_T	30282	31088.6	47853	-0.04811	chr20
G.hol._3F_T	21398	29832.5	45623	-0.53415	chr20
G.hol._4F_T	32269	31260.6	48310	0.05914	chr20
G.hol._6M_T	28957	31128.1	47987	-0.12878	chr20
G.hol._7M_T	26759	30774.9	47287	-0.24321	chr20
G.hol._8M_T	26412	30165.4	46361	-0.23175	chr20
G.hol._2F_T	16861	17741.1	27504	-0.09015	chr21
G.hol._3F_T	12236	17081.1	26273	-0.52711	chr21
G.hol._4F_T	16851	17939.2	27938	-0.10883	chr21
G.hol._6M_T	15779	17670.6	27394	-0.19454	chr21
G.hol._7M_T	15238	17431.7	26891	-0.23190	chr21
G.hol._8M_T	15712	17291.9	26750	-0.16704	chr21
G.hol._2F_T	24203	24891.3	38110	-0.05207	chr22
G.hol._3F_T	17689	24081.2	36595	-0.51082	chr22
G.hol._4F_T	24156	25127.5	38570	-0.07227	chr22
G.hol._6M_T	22494	24901.3	38103	-0.18235	chr22
G.hol._7M_T	21765	24618.6	37533	-0.22096	chr22
G.hol._8M_T	22466	24558.8	37462	-0.16220	chr22
G.hol._2F_T	20104	21279.3	32632	-0.10353	chr23
G.hol._3F_T	15278	20600.4	31448	-0.49066	chr23
G.hol._4F_T	20919	21675.1	33483	-0.06404	chr23
G.hol._6M_T	19924	21514.5	33117	-0.13708	chr23
G.hol._7M_T	18219	21046.4	32172	-0.25413	chr23
G.hol._8M_T	17901	20743.7	31714	-0.25913	chr23
G.hol._2F_T	12842	13976.5	21651	-0.14783	chr24
G.hol._3F_T	9930	13448.7	20698	-0.48537	chr24
G.hol._4F_T	13906	14186.9	22041	-0.03576	chr24
G.hol._6M_T	13693	14086.6	21851	-0.05069	chr24
G.hol._7M_T	12386	13851.8	21385	-0.19458	chr24
G.hol._8M_T	11992	13568.7	20917	-0.21456	chr24
G.hol._2F_T	27982	29809.4	45872	-0.11376	chr2
G.hol._3F_T	20939	28661.8	43788	-0.51056	chr2
G.hol._4F_T	28206	30139.3	46558	-0.11775	chr2
G.hol._6M_T	27765	30069.8	46384	-0.14128	chr2
G.hol._7M_T	26644	29458.4	45180	-0.17901	chr2
G.hol._8M_T	25191	28608.2	43761	-0.22552	chr2
G.hol._2F_T	28657	30942.8	47768	-0.13585	chr3
G.hol._3F_T	22791	29962.3	46006	-0.44698	chr3
G.hol._4F_T	29752	31581.5	49114	-0.10435	chr3
G.hol._6M_T	28950	31491.1	48860	-0.14630	chr3
G.hol._7M_T	26620	30947.1	47791	-0.25689	chr3
G.hol._8M_T	26337	30294.1	46557	-0.24332	chr3
G.hol._2F_T	23635	24841.8	38245	-0.09004	chr4
G.hol._3F_T	17547	23917.5	36567	-0.50361	chr4
G.hol._4F_T	23749	25190.6	39021	-0.10424	chr4
G.hol._6M_T	22562	24865.0	38309	-0.17131	chr4
G.hol._7M_T	21884	24355.8	37326	-0.19057	chr4
G.hol._8M_T	21247	24019.4	36763	-0.21755	chr4
G.hol._2F_T	30832	33029.2	50831	-0.12343	chr5
G.hol._3F_T	22958	31718.8	48428	-0.52431	chr5
G.hol._4F_T	31568	33382.1	51591	-0.09963	chr5
G.hol._6M_T	31369	33278.6	51302	-0.10595	chr5
G.hol._7M_T	29144	32875.1	50564	-0.21093	chr5
G.hol._8M_T	28500	32394.8	49719	-0.22482	chr5
G.hol._2F_T	26244	27516.5	42324	-0.08594	chr6
G.hol._3F_T	19985	26669.1	40793	-0.47325	chr6
G.hol._4F_T	26992	28059.2	43500	-0.06911	chr6
G.hol._6M_T	25496	27764.9	42872	-0.15019	chr6
G.hol._7M_T	23790	27327.6	41985	-0.24136	chr6
G.hol._8M_T	23772	26825.2	41182	-0.21267	chr6
G.hol._2F_T	23891	25750.0	39723	-0.13304	chr7
G.hol._3F_T	17555	24687.2	37815	-0.54329	chr7
G.hol._4F_T	25605	26044.8	40416	-0.03060	chr7
G.hol._6M_T	23771	26017.8	40262	-0.15773	chr7
G.hol._7M_T	21986	25531.6	39306	-0.25741	chr7
G.hol._8M_T	23202	25390.0	39140	-0.15912	chr7
G.hol._2F_T	26507	27746.2	42583	-0.08352	chr8
G.hol._3F_T	19674	27000.3	41220	-0.51522	chr8
G.hol._4F_T	27340	28355.0	43790	-0.06576	chr8
G.hol._6M_T	26597	28153.1	43329	-0.10254	chr8
G.hol._7M_T	24667	27669.9	42429	-0.20346	chr8
G.hol._8M_T	24875	27187.5	41663	-0.15975	chr8
G.hol._2F_T	27110	27572.8	42185	-0.03168	chr9
G.hol._3F_T	19672	26669.6	40559	-0.50381	chr9
G.hol._4F_T	26148	27858.8	42786	-0.11461	chr9
G.hol._6M_T	25080	27857.1	42734	-0.18667	chr9
G.hol._7M_T	25015	27381.6	41791	-0.16424	chr9
G.hol._8M_T	24536	27053.1	41271	-0.17704	chr9
